,0
0,0.21505698382736202
1,0.16924207960279888
2,0.13313577435140064
3,0.10468330480783639
4,0.08226555015161612
5,0.06460639694115475
6,0.0506998449445403
7,0.039752645886975066
8,0.03113916283923721
9,0.0243658433341199
10,0.019043254757171484
11,0.014864067947253427
12,0.01158571932415103
13,0.009016752970801727
14,0.007006057481763615
15,0.005434380294540117
16,0.004207634297781958
17,0.0032516153679654227
18,0.002507831121914815
19,0.001930205315985046
20,0.0014824727031629657
21,0.0011361187170989676
22,0.0008687494047325716
23,0.0006628014026346368
24,0.0005045208840541024
25,0.0003831554248548404
26,0.0002903145358434631
27,0.00021946388412434094
28,0.00016552552411829778
29,0.00012456220814948307
30,9.352838215494054e-05
31,7.007405599360946e-05
32,5.239057455237992e-05
33,3.908956504489614e-05
34,2.910812225865183e-05
35,2.1634714455812657e-05
36,1.605142440234205e-05
37,1.1889042345114868e-05
38,8.792247638155528e-06
39,6.492690151482742e-06
40,4.7882408524318035e-06
41,3.5270462629685493e-06
42,2.595312372592097e-06
43,1.9079748137632015e-06
44,1.401595539170739e-06
45,1.0289714015135975e-06
46,7.550545918531801e-07
47,5.538750165857999e-07
48,4.062253602269276e-07
49,2.9792479641880394e-07
50,2.185202925009051e-07
51,1.6031778637983206e-07
52,1.1766126445314729e-07
53,8.639758342812162e-08
54,6.348006574192836e-08
55,4.667549333194881e-08
56,3.4347943341741943e-08
57,2.529959156808788e-08
58,1.8653654280228888e-08
59,1.376843430419802e-08
60,1.0174282835789197e-08
61,7.527415104128351e-09
62,5.576102540892959e-09
63,4.135941335454208e-09
64,3.0717695365577127e-09
65,2.2844495910945497e-09
66,1.7012086708970919e-09
67,1.268579048958984e-09
68,9.47237824918068e-10
69,7.082338080053812e-10
70,5.302274190860542e-10
71,3.9747045436560203e-10
72,2.9832634335751104e-10
73,2.2418541152326093e-10
74,1.6866897334385285e-10
75,1.270447587855377e-10
76,9.579708898024287e-11
77,7.23104668622191e-11
78,5.4636370203753006e-11
79,4.1321147688617025e-11
80,3.1278839636456916e-11
81,2.3697068476439276e-11
82,1.7967303208738596e-11
83,1.3633112285113879e-11
84,1.0351710238687832e-11
85,7.865342242756962e-12
86,5.979959411071396e-12
87,4.549304857590027e-12
88,3.463021059129877e-12
89,2.6377501570788774e-12
90,2.010465000293296e-12
91,1.5334651939879416e-12
92,1.1706176357208675e-12
93,8.945285097471822e-13
94,6.84413390692457e-13
95,5.244912576567913e-13
96,4.027721937798882e-13
97,3.1014128518344103e-13
98,2.396656426659805e-13
99,1.860696946970834e-13
100,1.4533752711886482e-13
