,0
0,0.1615711405173017
1,0.16359980230268298
2,0.15409980034273496
3,0.13571798484891753
4,0.11227465818111283
5,0.08759436649074936
6,0.06466638080282876
7,0.0452972598751392
8,0.03017228652882711
9,0.019145503830430063
10,0.011590710145840712
11,0.006703885275051648
12,0.0037090295548795234
13,0.0019652947285769195
14,0.0009984512774516372
15,0.00048690212203082153
16,0.0002281617945519507
17,0.00010284629911087592
18,4.463995293423117e-05
19,1.867580491230824e-05
20,7.5382892204715e-06
21,2.9383763434630415e-06
22,1.1070633393691044e-06
23,4.0349982726791386e-07
24,1.4239077861198293e-07
25,4.8689634606836576e-08
26,1.614518083751749e-08
27,5.195462109426917e-09
28,1.6236461599213272e-09
29,4.931102173863168e-10
30,1.4563652987315633e-10
31,4.1855057681310175e-11
32,1.1712353857450313e-11
33,3.193129345333644e-12
34,8.486194062263476e-13
35,2.19974599371237e-13
36,5.564493074594087e-14
37,1.3743402667008951e-14
38,3.3158335592693872e-15
39,7.818574742732013e-16
40,1.8025954861108103e-16
41,4.065343694129584e-17
42,8.972437227812776e-18
43,1.938729895442068e-18
44,4.1029044112977767e-19
45,8.507469709543198e-20
46,1.7290458684947068e-20
47,3.445613638946478e-21
48,6.734919331612527e-22
49,1.2916680432468403e-22
50,2.4314448028678902e-23
51,4.493768837027624e-24
52,8.156867610364527e-25
53,1.454560987014394e-25
54,2.5489530151594974e-26
55,4.3907111671951996e-27
56,7.436510684291252e-28
57,1.2387381857696528e-28
58,2.0299118375061828e-29
59,3.2731831267979476e-30
60,5.194741887133688e-31
61,8.116341057468851e-32
62,1.248701116468992e-32
63,1.8921480565596973e-33
64,2.824515742381775e-34
65,4.1544780237824624e-35
66,6.022285953294022e-36
67,8.60528399576769e-37
68,1.212305757355357e-37
69,1.6841634552459158e-38
70,2.307603937606282e-39
71,3.1190407193540567e-40
72,4.159482852433398e-41
73,5.4738134584242404e-42
74,7.109596777581309e-43
75,9.115372243294643e-44
76,1.153842886248688e-44
77,1.4422097430690332e-45
78,1.7802649124496212e-46
79,2.170594264602844e-47
80,2.614401301522125e-48
81,3.1111837281331555e-49
82,3.65845397761371e-50
83,4.251530671130085e-51
84,4.883426311180119e-52
85,5.544852267786956e-53
86,6.224355428305306e-54
87,6.90859214229009e-55
88,7.582734968499767e-56
89,8.23099709917256e-57
90,8.837249198203267e-58
91,9.38569475914933e-59
92,9.8615638760339e-60
93,1.0251782220223266e-60
94,1.0545572424512772e-61
95,1.0734949032370068e-62
96,1.0815075360153906e-63
97,1.078446095921951e-64
98,1.06450573065193e-65
99,1.0410185035913629e-66
100,1.1035442386234731e-67
