,0
0,0.2060369754132965
1,0.16353695064903087
2,0.12985109085652605
3,0.10314526682827202
4,0.08196540678888313
5,0.06515964550215285
6,0.051816270385506694
7,0.041214231263940374
8,0.03278366449980864
9,0.026074417496151955
10,0.020730977199697822
11,0.0164725317674233
12,0.013077148731035259
13,0.010369252372019494
14,0.008209740614879231
15,0.006488207545502408
16,0.005116839158706173
17,0.004025632637822161
18,0.0031586573505312607
19,0.002471131676414234
20,0.0019271358556360878
21,0.0014978188450240726
22,0.0011599879428533977
23,0.0008949947502096035
24,0.0006878507976822464
25,0.0005265217089011965
26,0.0004013608418237336
27,0.000304652607712091
28,0.00023024269498583995
29,0.00017323771321786066
30,0.00012976072987686221
31,9.675212855639185e-05
32,7.180743133696846e-05
33,5.304539800826287e-05
34,3.900098956480502e-05
35,2.8538771339251965e-05
36,2.078311038360854e-05
37,1.506214741495408e-05
38,1.086303437736233e-05
39,7.796351276583484e-06
40,5.567969168779458e-06
41,3.956923316667397e-06
42,2.798111229308875e-06
43,1.9688418617527707e-06
44,1.37844039664355e-06
45,9.602624554964892e-07
46,6.655962735546669e-07
47,4.590347796297982e-07
48,3.1498470324138776e-07
49,2.1504949335489052e-07
50,1.4607937678939392e-07
51,9.872742807237321e-08
52,6.63869207179902e-08
53,4.4414091250766416e-08
54,2.95631528826897e-08
55,1.957811864731651e-08
56,1.2899719580001896e-08
57,8.456251310336873e-09
58,5.515225662510117e-09
59,3.5787904355327777e-09
60,2.3104516031187303e-09
61,1.4840393460320133e-09
62,9.48380098368895e-10
63,6.029880368785208e-10
64,3.8143908577447224e-10
65,2.4006735605314276e-10
66,1.503259039675911e-10
67,9.365455314970193e-11
68,5.8052383576028644e-11
69,3.580215741918376e-11
70,2.1968397016279304e-11
71,1.3411883200240558e-11
72,8.14677483118133e-12
73,4.923667137036893e-12
74,2.9607468044236097e-12
75,1.7714388956175833e-12
76,1.054547703496981e-12
77,6.246321929404912e-13
78,3.681320353208196e-13
79,2.1587736547791175e-13
80,1.2596157540962056e-13
81,7.313072053565585e-14
82,4.2246994517126964e-14
83,2.428451679684062e-14
84,1.389006765563102e-14
85,7.905405382580501e-15
86,4.477056185763435e-15
87,2.522977567360135e-15
88,1.4147857360277343e-15
89,7.894574682403259e-16
90,4.383619007008892e-16
91,2.4222025983412836e-16
92,1.3319135154330914e-16
93,7.2889130153712e-17
94,3.970617196959812e-17
95,2.154283637628657e-17
96,1.1659352460808224e-17
97,6.322254172221587e-18
98,3.476261386125016e-18
99,1.9991106895469705e-18
100,1.2861298755309225e-18
