,0
0,0.007951030557073963
1,0.010294346061484402
2,0.012919183952901038
3,0.01579622025100476
4,0.018881358738882626
5,0.022116129210880856
6,0.025429238301257123
7,0.028739241124940796
8,0.03195815619362134
9,0.0349957316099338
10,0.037764005642652955
11,0.04018179244775441
12,0.04217875509920552
13,0.043698788999788823
14,0.04470251526246904
15,0.04516876524578848
16,0.04509501721053438
17,0.044496819650877664
18,0.04340630003899712
19,0.04186990978031257
20,0.03994559381166991
21,0.03769959495224297
22,0.03520310841574978
23,0.03252899167620134
24,0.02974871122978377
25,0.026929673759790756
26,0.024133048441276325
27,0.021412143477952006
28,0.018811357139827317
29,0.016365684773862528
30,0.014100730974119
31,0.012033151937904014
32,0.010171437707642507
33,0.00851693735943658
34,0.007065031385222439
35,0.0058063631340925514
36,0.004728053524160046
37,0.003814838503011054
38,0.003050085201962349
39,0.0024166589065929716
40,0.0018976276859052868
41,0.0014768039822325174
42,0.0011391322218479154
43,0.0008709384422969989
44,0.0006600621866452634
45,0.000495892813312658
46,0.00036933235139046766
47,0.00027270557920202053
48,0.00019963559343342467
49,0.0001449001942629351
50,0.00010428129283741282
51,7.441652203416836e-05
52,5.265948711521827e-05
53,3.695274136700435e-05
54,2.571566172542868e-05
55,1.774793082904254e-05
56,1.2148271222642772e-05
57,8.247370280142183e-06
58,5.55351695636064e-06
59,3.709278576157581e-06
60,2.457516881246522e-06
61,1.6151247886984637e-06
62,1.0530156345378548e-06
63,6.810817189757145e-07
64,4.3703443850637837e-07
65,2.7822770130360223e-07
66,1.7573952838829766e-07
67,1.101384407954146e-07
68,6.848960399555865e-08
69,4.226125889172289e-08
70,2.5876642561231854e-08
71,1.572304758223716e-08
72,9.480785591797892e-09
73,5.6734354332426265e-09
74,3.369437603091405e-09
75,1.986065015909084e-09
76,1.1619017270967015e-09
77,6.746838248184724e-10
78,3.888670637622231e-10
79,2.224779153674717e-10
80,1.263491671905048e-10
81,7.123154578400172e-11
82,3.9865899571573995e-11
83,2.2150045261505928e-11
84,1.221816779822053e-11
85,6.6912995001471635e-12
86,3.638330954900695e-12
87,1.9642449550842133e-12
88,1.0529435822731439e-12
89,5.604602291052352e-13
90,2.9622991257977884e-13
91,1.5547893552165436e-13
92,8.103766640466346e-14
93,4.1945928843519375e-14
94,2.1562485044815714e-14
95,1.1009156009740917e-14
96,5.584916397992444e-15
97,2.8205022555948145e-15
98,1.4330999943493386e-15
99,7.7421774988513e-16
100,5.545288507465985e-16
