time,value,predicted_value,stepwise_value
0.0,5.0,7.865227383345605,7.865227383345605
0.02,6.070889506856291,7.865227383345605,7.865227383345605
0.04,6.610556272145179,7.865227383345605,7.865227383345605
0.06,7.21766494642099,7.865227383345605,7.865227383345605
0.08,8.034777997623033,7.865227383345605,7.865227383345605
0.1,8.160371809365826,7.865227383345605,7.865227383345605
0.12,8.883060701549393,7.865227383345605,7.865227383345605
0.14,8.928108028756654,7.865227383345605,7.865227383345605
0.16,9.777897173001657,7.865227383345605,7.865227383345605
0.18,9.968947397737027,7.865227383345605,7.865227383345605
0.2,10.527086944936237,9.968947397737027,9.968947397737027
0.22,10.995860771897208,9.968947397737027,9.968947397737027
0.24,11.333758455972678,9.968947397737027,9.968947397737027
0.26,12.180889522545952,9.968947397737027,9.968947397737027
0.28,12.609627195790408,9.968947397737027,9.968947397737027
0.3,12.281881159245142,9.968947397737027,9.968947397737027
0.32,12.390723111678035,9.968947397737027,9.968947397737027
0.34,13.568451312657553,9.968947397737027,9.968947397737027
0.36,13.72505218093118,9.968947397737027,9.968947397737027
0.38,14.005312277056715,9.968947397737027,9.968947397737027
0.4,13.532911639978384,14.005312277056715,14.005312277056714
0.42,13.605904520012182,14.005312277056715,14.005312277056714
0.44,13.61427707461393,14.005312277056715,14.005312277056714
0.46,14.59145786008817,14.005312277056715,14.005312277056714
0.48,14.700924149204436,14.005312277056715,14.005312277056714
0.5,15.327546311696084,14.005312277056715,14.005312277056714
0.52,15.93543282575116,14.005312277056715,14.005312277056714
0.54,16.34483314382586,14.005312277056715,14.005312277056714
0.56,17.198308012310214,14.005312277056715,14.005312277056714
0.58,17.04803034816288,14.005312277056715,14.005312277056714
0.6,17.702511233726472,17.198308012310214,17.198308012310214
0.62,18.85099410526894,17.198308012310214,17.198308012310214
0.64,18.878621512662143,17.198308012310214,17.198308012310214
0.66,19.39473451708481,17.198308012310214,17.198308012310214
0.68,19.83626892660592,17.198308012310214,17.198308012310214
0.7,19.571775458979115,17.198308012310214,17.198308012310214
0.72,19.38770980652584,17.198308012310214,17.198308012310214
0.74,19.15114182317603,17.198308012310214,17.198308012310214
0.76,19.1271737226028,17.198308012310214,17.198308012310214
0.78,19.86445754090831,17.198308012310214,17.198308012310214
0.8,19.14103330273484,19.679605054669945,19.517544857450346
0.82,20.695775899714057,19.582328040463178,19.517544857450346
0.84,22.333547228366516,19.531136857236234,19.517544857450346
0.86,22.70363222531908,19.504197941999752,19.517544857450346
0.88,23.533432662628016,19.49002157200062,19.517544857450346
0.9,23.285162265860446,19.48256138050486,19.517544857450346
0.92,23.02277434465216,19.47863551957171,19.517544857450346
0.94,24.052059331336352,19.476569569377915,19.517544857450346
0.96,24.16856839890719,19.475482381044984,19.517544857450346
0.98,24.444638968410928,19.474910257634253,19.517544857450346
1.0,24.2540703043045,24.381739222420173,24.28095734090489
1.02,24.855957148579574,24.337418542364066,24.28095734090489
1.04,25.129448660117237,24.30618912085059,24.28095734090489
1.06,24.86182041439412,24.284184116260594,24.28095734090489
1.08,24.8523918218787,24.26867885860487,24.28095734090489
1.1,24.882373862147546,24.25775347960814,24.28095734090489
1.12,25.3068626720132,24.25005519371877,24.28095734090489
1.14,24.985544799258125,24.24463079556725,24.28095734090489
1.16,25.98630393309124,24.24080863363029,24.28095734090489
1.18,25.911831615177896,24.238115446024164,24.28095734090489
1.2,26.833884932186187,25.72978164761438,25.500393516608675
1.22,27.59678874197336,25.614528953017142,25.500393516608675
1.24,28.01451122978835,25.541564459863412,25.500393516608675
1.26,27.8125511502366,25.495371897687015,25.500393516608675
1.28,27.656329338000837,25.466128183269305,25.500393516608675
1.3,26.648587311307068,25.447614492046057,25.500393516608675
1.32,25.479439215279587,25.435893793443483,25.500393516608675
1.34,25.74026854257816,25.42847362130839,25.500393516608675
1.36,26.58759280879013,25.42377603830747,25.500393516608675
1.38,27.226265350174454,25.42080207953013,25.500393516608675
1.4,27.30152486142351,27.181360690450827,27.1048733932262
1.42,27.979759783014515,27.1489046210171,27.1048733932262
1.44,27.60484658775001,27.125446110261862,27.1048733932262
1.46,27.69019042010474,27.108490830819374,27.1048733932262
1.48,27.331779964156567,27.096235939450853,27.1048733932262
1.5,28.89686769670829,27.087378381958878,27.1048733932262
1.52,29.73390086114101,27.080976340327965,27.1048733932262
1.54,31.91843870590245,27.076349089860653,27.1048733932262
1.56,32.73463856048292,27.07300461818714,27.1048733932262
1.58,33.27443261706188,27.070587309927316,27.1048733932262
1.6,33.70584301043819,33.27443261706188,33.27443261706189
1.62,33.208468674381265,33.27443261706188,33.27443261706189
1.64,32.635933902036534,33.27443261706188,33.27443261706189
1.66,32.60391131786464,33.27443261706188,33.27443261706189
1.68,32.43375212005359,33.27443261706188,33.27443261706189
1.7,32.96028051994694,33.27443261706188,33.27443261706189
1.72,33.24836109930726,33.27443261706188,33.27443261706189
1.74,34.61356926321241,33.27443261706188,33.27443261706189
1.76,35.08293226036967,33.27443261706188,33.27443261706189
1.78,35.18108741335721,33.27443261706188,33.27443261706189
1.8,36.545019577330976,35.18108741335721,35.18108741335721
1.82,36.90926479764674,35.18108741335721,35.18108741335721
1.84,38.88571233583325,35.18108741335721,35.18108741335721
1.86,40.42262200055896,35.18108741335721,35.18108741335721
1.88,39.50150813983661,35.18108741335721,35.18108741335721
1.9,40.08716771356776,35.18108741335721,35.18108741335721
1.92,39.76035143114011,35.18108741335721,35.18108741335721
1.94,40.15741965439769,35.18108741335721,35.18108741335721
1.96,40.18377337680931,35.18108741335721,35.18108741335721
1.98,40.89849736124852,35.18108741335721,35.18108741335721
2.0,40.11406465084802,40.779952412163404,40.59427928197191
2.02,41.888228164388856,40.69722337714367,40.59427928197191
2.04,40.68750259642186,40.63948921564531,40.59427928197191
2.06,40.1599319713666,40.59919824158615,40.59427928197191
2.08,40.538830902594185,40.57108035525153,40.59427928197191
2.1,39.226981528703725,40.55145770897929,40.59427928197191
2.12,38.41894865720676,40.53776364100622,40.59427928197191
2.14,38.66950741439384,40.528206953541684,40.59427928197191
2.16,39.0868572798386,40.52153762230464,40.59427928197191
2.18,40.07276184798706,40.51688329209719,40.59427928197191
2.2,39.00932794294632,39.99601946570357,39.894548149132035
2.22,38.91789883203608,39.946333891269965,39.894548149132035
2.24,37.123206144157216,39.91416579544936,39.894548149132035
2.26,38.039386753301095,39.893339098756805,39.894548149132035
2.28,37.278082862222384,39.87985520162026,39.894548149132035
2.3,37.92460404060832,39.87112527749101,39.894548149132035
2.32,38.67464627950488,39.86547323383251,39.894548149132035
2.34,39.41904109497167,39.861813912509135,39.894548149132035
2.36,39.840057772048375,39.85944474599933,39.894548149132035
2.38,39.64578621738072,39.857910868688435,39.894548149132035
2.4,41.564841581607794,39.33490175390012,38.867634280499814
2.42,42.70582912419135,39.12175666024416,38.867634280499814
2.44,42.70709327595049,38.975622529123626,38.867634280499814
2.46,42.28991183412999,38.875431697084956,38.867634280499814
2.48,42.27541225108256,38.80673999072156,38.867634280499814
2.5,42.69609620734072,38.75964435904446,38.867634280499814
2.52,43.285709511646,38.727355184113634,38.867634280499814
2.54,43.95297697283816,38.705217444782264,38.867634280499814
2.56,43.83160360756577,38.69003961804147,38.867634280499814
