file,z0,method,w_min,w_max,mse,mae,avg_window_size,n_deviations,n_steps
initial_value_5_samples_500.csv,5,ols,3,8,11.304497492126934,2.555288800793646,7.78125,52.0,64.0
initial_value_5_samples_500.csv,5,diff_ols,3,8,31.3875107680508,2.8244563375561484,7.78125,63.0,64.0
initial_value_5_samples_500.csv,5,ols,3,10,16.769904074282273,3.1597862444314844,9.72549019607843,44.0,51.0
initial_value_5_samples_500.csv,5,diff_ols,3,10,9.425304423518906,2.321585339992295,9.72549019607843,51.0,51.0
initial_value_5_samples_500.csv,5,ols,3,12,17.0093927511625,3.0625797757444007,11.55813953488372,38.0,43.0
initial_value_5_samples_500.csv,5,diff_ols,3,12,10.900668954305694,2.4832892041988033,11.55813953488372,43.0,43.0
initial_value_5_samples_500.csv,5,ols,3,15,26.363070928137475,3.8420416541605316,14.17142857142857,28.0,35.0
initial_value_5_samples_500.csv,5,diff_ols,3,15,23.40973824976085,3.037671627746204,14.17142857142857,35.0,35.0
initial_value_5_samples_500.csv,5,ols,4,8,12.149749537977343,2.5577150879113346,7.888888888888889,50.0,63.0
initial_value_5_samples_500.csv,5,diff_ols,4,8,7.7044920076617265,2.053336728578409,7.888888888888889,63.0,63.0
initial_value_5_samples_500.csv,5,ols,4,10,14.636443187303426,2.951945807627453,9.745098039215685,42.0,51.0
initial_value_5_samples_500.csv,5,diff_ols,4,10,8.366726100750972,2.2292518909718737,9.745098039215685,51.0,51.0
initial_value_5_samples_500.csv,5,ols,4,12,14.843372609833065,2.9609765816443185,11.55813953488372,35.0,43.0
initial_value_5_samples_500.csv,5,diff_ols,4,12,9.716077343171673,2.382399526449926,11.55813953488372,43.0,43.0
initial_value_5_samples_500.csv,5,ols,4,15,17.513095035939067,3.1041933811212554,14.2,30.0,35.0
initial_value_5_samples_500.csv,5,diff_ols,4,15,21.896225610113053,2.9959632275472594,14.2,35.0,35.0
initial_value_5_samples_500.csv,5,ols,5,8,11.719810886647647,2.591048752742276,7.873015873015873,52.0,63.0
initial_value_5_samples_500.csv,5,diff_ols,5,8,9.329000655384698,2.1504342141995334,7.873015873015873,63.0,63.0
initial_value_5_samples_500.csv,5,ols,5,10,18.38966159461397,3.1287514290791503,9.84,43.0,50.0
initial_value_5_samples_500.csv,5,diff_ols,5,10,10.45927522198611,2.389277037990006,9.84,50.0,50.0
initial_value_5_samples_500.csv,5,ols,5,12,17.393731649019,3.234410800032041,11.714285714285714,38.0,42.0
initial_value_5_samples_500.csv,5,diff_ols,5,12,11.298887057371132,2.5414278472057905,11.714285714285714,42.0,42.0
initial_value_5_samples_500.csv,5,ols,5,15,27.52804145912053,3.8600699922935995,14.470588235294118,29.0,34.0
initial_value_5_samples_500.csv,5,diff_ols,5,15,16.15797337901802,2.997446376249804,14.470588235294118,34.0,34.0
initial_value_5_samples_5000.csv,5,ols,3,8,1.137551657773674,0.7865573052337601,7.971291866028708,549.0,627.0
