time,value,predicted_value,stepwise_value
0.0,5.0,9.086633114973237,9.086633114973237
0.02,6.070889506856291,9.086633114973237,9.086633114973237
0.04,6.610556272145179,9.086633114973237,9.086633114973237
0.06,7.21766494642099,9.086633114973237,9.086633114973237
0.08,8.034777997623033,9.086633114973237,9.086633114973237
0.1,8.160371809365826,9.086633114973237,9.086633114973237
0.12,8.883060701549393,9.086633114973237,9.086633114973237
0.14,8.928108028756654,9.086633114973237,9.086633114973237
0.16,9.777897173001657,9.086633114973237,9.086633114973237
0.18,9.968947397737027,9.086633114973237,9.086633114973237
0.2,10.527086944936237,9.086633114973237,9.086633114973237
0.22,10.995860771897208,9.086633114973237,9.086633114973237
0.24,11.333758455972678,9.086633114973237,9.086633114973237
0.26,12.180889522545952,9.086633114973237,9.086633114973237
0.28,12.609627195790408,9.086633114973237,9.086633114973237
0.3,12.281881159245142,13.105064519997446,16.621191999393638
0.32,12.390723111678035,13.607368445625474,16.621191999393638
0.34,13.568451312657553,14.1096723712535,16.621191999393638
0.36,13.72505218093118,14.611976296881526,16.621191999393638
0.38,14.005312277056715,15.114280222509553,16.621191999393638
0.4,13.532911639978384,15.61658414813758,16.621191999393638
0.42,13.605904520012182,16.118888073765607,16.621191999393638
0.44,13.61427707461393,16.621191999393634,16.621191999393638
0.46,14.59145786008817,17.12349592502166,16.621191999393638
0.48,14.700924149204436,17.625799850649685,16.621191999393638
0.5,15.327546311696084,18.12810377627771,16.621191999393638
0.52,15.93543282575116,18.630407701905742,16.621191999393638
0.54,16.34483314382586,19.13271162753377,16.621191999393638
0.56,17.198308012310214,19.635015553161796,16.621191999393638
0.58,17.04803034816288,20.13731947878982,16.621191999393638
0.6,17.702511233726472,17.15960113582705,19.465107783921678
0.62,18.85099410526894,17.488959228411996,19.465107783921678
0.64,18.878621512662143,17.818317320996943,19.465107783921678
0.66,19.39473451708481,18.14767541358189,19.465107783921678
0.68,19.83626892660592,18.477033506166833,19.465107783921678
0.7,19.571775458979115,18.80639159875178,19.465107783921678
0.72,19.38770980652584,19.135749691336727,19.465107783921678
0.74,19.15114182317603,19.465107783921674,19.465107783921678
0.76,19.1271737226028,19.79446587650662,19.465107783921678
0.78,19.86445754090831,20.123823969091568,19.465107783921678
0.8,19.14103330273484,20.453182061676515,19.465107783921678
0.82,20.695775899714057,20.782540154261458,19.465107783921678
0.84,22.333547228366516,21.111898246846405,19.465107783921678
0.86,22.70363222531908,21.44125633943135,19.465107783921678
0.88,23.533432662628016,21.7706144320163,19.465107783921678
0.9,23.285162265860446,22.43009763699084,24.546352487990156
0.92,23.02277434465216,22.732419758562173,24.546352487990156
0.94,24.052059331336352,23.034741880133502,24.546352487990156
0.96,24.16856839890719,23.33706400170483,24.546352487990156
