file,z0,method,w_min,w_max,mse,rmse,mae,mape,direction_accuracy,avg_changepoint_prob,avg_window_size,n_steps
initial_value_5_samples_500.csv,5,ols,3,8,10.40930062487525,3.2263447777438867,2.419151039954263,4.687785968356985,56.39999999999999,0.017820196868706974,7.78125,64.0
initial_value_5_samples_500.csv,5,ols,3,10,16.4388637834307,4.054486870546099,3.0854689240597084,5.649266928498872,52.610441767068274,0.017820196868706974,9.72549019607843,51.0
initial_value_5_samples_500.csv,5,ols,3,12,21.051265066543106,4.588165762757827,3.209815613121594,5.9201752100625855,51.903807615230455,0.017820196868706974,11.55813953488372,43.0
initial_value_5_samples_500.csv,5,ols,3,15,20.690601968574903,4.548692336108797,3.462903618303712,6.256787589232099,56.827309236947784,0.017820196868706974,14.17142857142857,35.0
initial_value_5_samples_500.csv,5,ols,4,8,12.234767522762704,3.4978232549348034,2.5783863154390514,4.886985290807864,50.6,0.017820196868706974,7.888888888888889,63.0
initial_value_5_samples_500.csv,5,ols,4,10,11.788901915532815,3.4334970388122974,2.688297438795894,5.143349279563696,55.2,0.017820196868706974,9.745098039215685,51.0
initial_value_5_samples_500.csv,5,ols,4,12,14.336007055716552,3.7862919929287746,2.8709965350047137,5.352079736297959,55.400000000000006,0.017820196868706974,11.55813953488372,43.0
initial_value_5_samples_500.csv,5,ols,4,15,20.85897602880649,4.5671627985880345,3.208729787767422,5.833453219752236,53.0,0.017820196868706974,14.2,35.0
initial_value_5_samples_500.csv,5,ols,5,8,10.925008539318044,3.305300067969328,2.486532164336486,4.988208214232849,55.400000000000006,0.017820196868706974,7.873015873015873,63.0
initial_value_5_samples_500.csv,5,ols,5,10,17.51091773108199,4.184604847662679,3.000466659802997,5.487175520649378,52.82258064516129,0.017820196868706974,9.84,50.0
initial_value_5_samples_500.csv,5,ols,5,12,17.22707164238983,4.150550763740859,3.186154772924811,6.041054167142997,55.04032258064516,0.017820196868706974,11.714285714285714,42.0
initial_value_5_samples_500.csv,5,ols,5,15,22.298922041014308,4.722173444613646,3.6012636422832323,6.317576212221302,54.233870967741936,0.017820196868706974,14.470588235294118,34.0
