time,value,predicted_value,stepwise_value
0.0,80.0,81.93170754314511,81.93170754314511
0.02,82.67697133049634,81.93170754314511,81.93170754314511
0.04,82.7035227354265,81.93170754314511,81.93170754314511
0.06,81.76316199516852,81.93170754314511,81.93170754314511
0.08,82.51488165463421,81.93170754314511,81.93170754314511
0.1,81.7946613266479,82.38346950713103,82.34132747150332
0.12,82.79700663420861,82.34260530092017,82.34132747150332
0.14,82.37021805706621,82.32989807878758,82.34132747150332
0.16,80.99322226007821,82.32594661345155,82.34132747150332
0.18,80.57951858494872,82.32471785722623,82.34132747150332
0.2,78.81542527659347,80.74741913365305,80.92173531119782
0.22,76.66546938769025,80.86488178833557,80.92173531119782
0.24,77.95186028326289,80.94705826334732,80.92173531119782
0.26,78.47173339411063,81.00454864668328,80.92173531119782
0.28,76.4832990479766,81.04476872396991,80.92173531119782
0.3,75.57665816290881,77.41633139837396,77.5771445547575
0.32,74.5404026828832,77.58986187407548,77.5771445547575
0.34,73.51711412332747,77.62213602403864,77.5771445547575
0.36,76.23210059482113,77.62813854752412,77.5771445547575
0.38,76.55484644269643,77.62925492977539,77.5771445547575
0.4,77.31972131270196,75.79187116411201,75.43100123068022
0.42,79.20398729318556,75.4737145299109,75.43100123068022
0.44,79.2111292339783,75.34104490518335,75.43100123068022
0.46,77.74807556178918,75.28572237711619,75.43100123068022
0.48,79.8647689379967,75.26265317707868,75.43100123068022
0.5,79.58902375876694,79.0054822775566,78.8353622204715
0.52,81.72031825584517,78.8254765573784,78.8353622204715
0.54,81.72143509670852,78.78776846671597,78.8353622204715
0.56,80.90886704751011,78.77986927273483,78.8353622204715
0.58,81.26487121598656,78.77821452797168,78.8353622204715
0.6,79.67928476934453,81.31594924380053,81.33197923254697
0.62,78.98027017411846,81.33156488822233,81.33197923254697
0.64,80.3509953952054,81.33633892436164,81.33197923254697
0.66,79.85095051408747,81.33779844921017,81.33197923254697
0.68,79.88129956358068,81.33824465714017,81.33197923254697
0.7,79.90824943283701,79.78640258884711,79.76198193666141
0.72,80.86393971717206,79.76166383411491,79.76198193666141
0.74,81.09885710723741,79.75521467187957,79.76198193666141
0.76,82.74925569372589,79.75353343553651,79.76198193666141
0.78,83.9181036250411,79.75309515292894,79.76198193666141
0.8,84.24310766495113,83.9181036250411,83.9181036250411
0.82,84.13152871262491,83.9181036250411,83.9181036250411
0.84,86.26680263305954,83.9181036250411,83.9181036250411
0.86,86.36367527997955,83.9181036250411,83.9181036250411
0.88,87.35111282368275,83.9181036250411,83.9181036250411
0.9,88.49997324662681,87.35111282368275,87.35111282368275
0.92,89.71946097659347,87.35111282368275,87.35111282368275
0.94,89.5603492096233,87.35111282368275,87.35111282368275
0.96,91.26870112758664,87.35111282368275,87.35111282368275
0.98,91.81480141585833,87.35111282368275,87.35111282368275
1.0,91.89353558357206,91.81480141585833,91.81480141585833
1.02,90.9341390958178,91.81480141585833,91.81480141585833
1.04,91.26513408001294,91.81480141585833,91.81480141585833
1.06,88.75924581970939,91.81480141585833,91.81480141585833
1.08,89.06873191602713,91.81480141585833,91.81480141585833
1.1,89.2046025748368,89.21837350740738,89.33255088118969
1.12,90.58402131954544,89.30490961326159,89.33255088118969
1.14,89.6963198610253,89.35495250272395,89.33255088118969
1.16,89.78517770121739,89.38389176178836,89.33255088118969
1.18,89.44218339743638,89.40062702076712,89.33255088118969
1.2,89.39522448066357,89.76862218836925,89.8336084047041
1.22,90.88691395328962,89.83732773484152,89.8336084047041
1.24,90.72057847964156,89.85178818576577,89.8336084047041
1.26,90.53259953388152,89.85483167572647,89.8336084047041
1.28,89.8408812664474,89.85547223881744,89.8336084047041
1.3,90.2967008551604,90.29348810607937,90.42235510431628
1.32,89.83747993965565,90.42154674413062,90.42235510431628
1.34,90.59173063548832,90.45777910595899,90.42235510431628
1.36,89.28418172903237,90.46803053502023,90.42235510431628
1.38,89.57366256257242,90.47093103039218,90.42235510431628
1.4,90.23949634883716,89.77926414380107,89.8374690453156
1.42,91.73589435445952,89.83716921029962,89.8374690453156
1.44,91.41881403879188,89.85347743471192,89.8374690453156
1.46,90.64851329213508,89.85807043839128,89.8374690453156
1.48,90.3249549830908,89.8593639993741,89.8374690453156
1.5,92.55000625626562,90.79864192548013,90.96129591905671
1.52,92.07754948650232,90.95401067754457,90.96129591905671
1.54,93.67983267054116,91.00497144288951,90.96129591905671
1.56,91.7171262432034,91.0216865131339,90.96129591905671
1.58,92.18855446152932,91.02716903623543,90.96129591905671
1.6,90.3469345238486,92.39261229968501,92.43374669205272
1.62,88.79402738343181,92.43601882969656,92.43374669205272
1.64,88.15461382740689,92.44525212778828,92.43374669205272
1.66,88.61000032018869,92.4472162053966,92.43374669205272
1.68,88.5494080354831,92.44763399769717,92.43374669205272
1.7,89.72010515489492,88.49695910831815,88.47194373525886
1.72,90.09922251681998,88.47495558910101,88.47194373525886
1.74,89.14713165427882,88.46572461176537,88.47194373525886
1.76,89.18095750838168,88.46185200658206,88.47194373525886
1.78,90.77319932895507,88.46022736052775,88.47194373525886
1.8,89.76145621756444,89.89916872209976,89.74539177617153
1.82,91.2228898566778,89.73369108400225,89.74539177617153
1.84,90.27670189794128,89.70236169061995,89.74539177617153
1.86,91.08837286682294,89.69643018893194,89.74539177617153
1.88,90.50001200111365,89.69530719520381,89.74539177617153
1.9,90.39473067349888,90.66110875825888,90.69016105304395
1.92,86.44894890911506,90.69226564102657,90.69016105304395
1.94,88.47841730313498,90.69829153106309,90.69016105304395
1.96,88.61871411027688,90.69945696699592,90.69016105304395
1.98,89.6913597613783,90.69968236787534,90.69016105304395
2.0,89.30047679703848,88.6690702232857,88.44455675012678
2.02,89.1408127763157,88.43532235756399,88.44455675012678
2.04,88.8809027922305,88.38187559645226,88.44455675012678
2.06,87.30653329763447,88.36965492327299,88.44455675012678
2.08,85.69172397552755,88.36686065005891,88.44455675012678
2.1,87.16692911395822,81.80374217374336,75.36505296173581
2.12,86.23118970726104,74.47018026495329,75.36505296173581
2.14,87.15574094217271,73.51711412332747,75.36505296173581
2.16,88.21733228815282,73.51711412332747,75.36505296173581
2.18,86.50137515299583,73.51711412332747,75.36505296173581
2.2,86.20699365114265,86.92161185043295,87.02941206918798
2.22,86.5095469196819,87.03087975112614,87.02941206918798
2.24,85.51399740222949,87.05929105883607,87.02941206918798
2.26,85.90783888715715,87.06667842878339,87.02941206918798
2.28,85.7617282155553,87.06859925676132,87.02941206918798
2.3,85.5313544891818,85.8785415734761,85.91840890382494
2.32,88.47523836888537,85.91667545150669,85.91840890382494
2.34,85.73701688813532,85.92912430735277,85.91840890382494
2.36,83.6436578874725,85.93318825311124,85.91840890382494
2.38,82.92243154258895,85.93451493367786,85.91840890382494
2.4,81.53503034027423,83.62150317746816,84.1688132147448
2.42,80.65877860923041,84.03250247151519,84.1688132147448
2.44,82.36207820083584,84.27413782228483,84.1688132147448
2.46,81.60628003841934,84.41620045739703,84.1688132147448
2.48,80.35540338128449,84.49972214505878,84.1688132147448
2.5,79.31049046028336,81.12668109800963,81.28920009136293
2.52,80.51999435675079,81.29700728207769,81.28920009136293
2.54,83.07039392299602,81.33462150111978,81.28920009136293
2.56,83.24212540828434,81.34292808933984,81.28920009136293
2.58,81.67762379650884,81.34476248626777,81.28920009136293
2.6,82.42989630529776,82.03612038175658,82.25888412906465
2.62,80.30702801926031,82.21713065481049,82.25888412906465
2.64,82.17688692395897,82.30852544153744,82.25888412906465
2.66,82.8279517039876,82.35467203255648,82.25888412906465
2.68,83.10279591781794,82.3779721346623,82.25888412906465
2.7,86.31891984156431,82.47873814206464,82.22440580017526
2.72,85.9461052164619,82.245519412475,82.22440580017526
2.74,85.8143238370295,82.15836245690988,82.22440580017526
2.76,83.55655790298685,82.1257907380057,82.22440580017526
2.78,80.40052041796567,82.11361825142109,82.22440580017526
2.8,79.35813755267796,73.51711412332747,73.51711412332747
2.82,77.9138465591839,73.51711412332747,73.51711412332747
2.84,78.5335483211153,73.51711412332747,73.51711412332747
2.86,81.4016356681122,73.51711412332747,73.51711412332747
2.88,79.94978608606016,73.51711412332747,73.51711412332747
2.9,78.86096390012386,79.6646583818762,79.53331237559988
2.92,78.34265693003292,79.54801821188047,79.53331237559988
2.94,78.15870833389384,79.5003029984621,79.53331237559988
2.96,77.74455799670986,79.48078363740797,79.53331237559988
2.98,75.70652097379227,79.4727986483727,79.53331237559988
3.0,74.59380979416352,73.51711412332747,73.51711412332747
3.02,73.14502867879362,73.51711412332747,73.51711412332747
3.04,71.16812087564317,73.51711412332747,73.51711412332747
3.06,70.60895854750314,73.51711412332747,73.51711412332747
3.08,72.11426698936053,73.51711412332747,73.51711412332747
3.1,72.18117222002705,71.79006236870042,71.5830501576813
3.12,71.72189856225715,71.62332846318796,71.5830501576813
3.14,71.50327896693224,71.53757954575786,71.5830501576813
3.16,73.13498265139658,71.49348007589998,71.5830501576813
3.18,71.72411240743673,71.47080033486033,71.5830501576813
3.2,73.3244799530832,71.98545706815472,72.04059279584988
3.22,73.7899785522301,72.04323043169356,72.04059279584988
3.24,73.52829742526886,72.05600192480698,72.04059279584988
3.26,72.25815435878845,72.05882521613633,72.04059279584988
3.28,72.65997882665407,72.05944933845778,72.04059279584988
3.3,73.17039018526714,72.806385230072,72.90263244943867
3.32,72.77520196368327,72.88316643929447,72.90263244943867
3.34,72.05033534955373,72.92343349013403,72.90263244943867
3.36,70.31360459073493,72.9445510968992,72.90263244943867
3.38,69.78704961195653,72.9556259907936,72.90263244943867
3.4,68.24331639352559,69.78704961195653,69.78704961195653
3.42,67.4861157549364,69.78704961195653,69.78704961195653
3.44,67.41324316942278,69.78704961195653,69.78704961195653
3.46,69.37275262926997,69.78704961195653,69.78704961195653
3.48,68.67204259669073,69.78704961195653,69.78704961195653
3.5,69.85189043328043,68.41274519570281,68.2991827987399
3.52,70.88715316997884,68.31052433909572,68.2991827987399
3.54,70.14798603748486,68.27022658259806,68.2991827987399
3.56,70.6142317040165,68.25434030231587,68.2991827987399
3.58,72.33665001027389,68.24807757398709,68.2991827987399
3.6,72.90346827737325,71.53165799458431,71.18972194780096
3.62,76.1926607056833,71.2214036199683,71.18972194780096
3.64,74.619627762354,71.10182755574371,71.18972194780096
3.66,73.59764506706018,71.05574138805264,71.18972194780096
3.68,73.21529644185436,71.03797918065584,71.18972194780096
3.7,74.07959039997863,74.05305325838917,74.29624514953494
3.72,73.39587162018447,74.29379142778804,74.29624514953494
3.74,72.47631708009366,74.36297005464212,74.29624514953494
3.76,73.00096498340038,74.38284925545753,74.29624514953494
3.78,74.22780771031465,74.38856175139783,74.29624514953494
3.8,73.16285312432343,73.6145136408798,73.3793890190864
3.82,75.24581941073606,73.39562730020918,73.3793890190864
3.84,77.6827020110034,73.31750616302563,73.3793890190864
3.86,77.33917623824132,73.28962451423862,73.3793890190864
3.88,78.19227647890631,73.27967347707879,73.3793890190864
3.9,77.6676571490202,78.279369290472,78.35197332050559
3.92,78.38834134327057,78.33265274157252,78.35197332050559
3.94,79.4967302479381,78.36525159916064,78.35197332050559
3.96,80.07220905176118,78.38519560605403,78.35197332050559
3.98,79.5002102134176,78.39739736526869,78.35197332050559
4.0,78.7539464445466,79.62128457257135,79.71912806241258
4.02,79.91062135275142,79.69391820449077,79.71912806241258
4.04,79.0190431566243,79.73749179449513,79.71912806241258
4.06,80.21318108144652,79.76363199560711,79.71912806241258
4.08,81.34973736854246,79.77931374489852,79.71912806241258
4.1,82.32753472199877,80.95086568536556,80.68373665651345
4.12,81.55365010209717,80.73907614994403,80.68373665651345
4.14,81.57012619311371,80.62662192166486,80.68373665651345
4.16,81.15194638301467,80.56691192025856,80.68373665651345
4.18,80.65855605526224,80.53520760533418,80.68373665651345
4.2,80.91621227308876,80.59045915823117,80.51761235237049
4.22,82.58567370175126,80.54196857090612,80.51761235237049
4.24,79.77155438780444,80.50743928746381,80.51761235237049
4.26,78.9375427767838,80.48285159981533,80.51761235237049
4.28,77.86767845836297,80.46534314543604,80.51761235237049
4.3,78.7795558486386,78.05107953849125,78.23890207508268
4.32,78.21926790153356,78.1783472859551,78.23890207508268
4.34,78.49127531135277,78.26666235767219,78.23890207508268
4.36,77.90258643605029,78.32794694899891,78.23890207508268
4.38,78.30567739156854,78.37047424429586,78.23890207508268
4.4,76.42558640132486,78.38889000510503,78.46883599287112
4.42,78.17265347244066,78.44446044056625,78.46883599287112
4.44,78.91384911115615,78.48157108000066,78.46883599287112
4.46,79.06976238240982,78.50635403424246,78.46883599287112
4.48,78.21445846162614,78.52290440444118,78.46883599287112
4.5,76.6298189913179,78.47939735078555,78.61272581921627
4.52,78.36614123521234,78.59491147736811,78.61272581921627
4.54,78.10108342490787,78.64527597267671,78.61272581921627
4.56,76.4132495014367,78.66723503917994,78.61272581921627
4.58,75.61417857159906,78.676809256071,78.61272581921627
4.6,77.8903150614232,76.29275069491544,76.7211564116194
4.62,79.24371679275045,76.63907573346135,76.7211564116194
4.64,80.18902295496518,76.81583075802327,76.7211564116194
4.66,81.25749042188392,76.90604178879096,76.7211564116194
4.68,81.44454867422293,76.95208308290601,76.7211564116194
4.7,83.54876333768367,81.73730396689223,82.0695492493181
4.72,81.77347164947254,81.95309289915077,82.0695492493181
4.74,82.72616836386628,82.11215018846814,82.0695492493181
4.76,82.09976839584508,82.22939077638982,82.0695492493181
4.78,83.69194527202072,82.31580841568956,82.0695492493181
4.8,84.09111674117501,82.74053318627115,82.60056900265832
4.82,81.05421454349303,82.58647163996541,82.60056900265832
4.84,81.91278147901258,82.56152455299267,82.60056900265832
4.86,81.43321581309928,82.55748488726589,82.60056900265832
4.88,81.86901109115986,82.55683074679644,82.60056900265832
4.9,83.47827969954808,81.73924021001459,81.7031579548499
4.92,85.13081764785335,81.7032174680722,81.7031579548499
