file,z0,method,window_size,mse,mae,rmse,direction_accuracy,type
initial_value_5_samples_500.csv,5,ols,3,4.518006454759666,1.605512283315714,2.1255602684373986,55.800000000000004,fixed
initial_value_5_samples_500.csv,5,ols,4,5.178941129373825,1.6880965097063936,2.2757287029375504,51.903807615230455,fixed
initial_value_5_samples_500.csv,5,ols,5,9.042195744063989,2.227246127159193,3.0070244003107107,51.503006012024045,fixed
initial_value_5_samples_500.csv,5,ols,8,11.009220879831409,2.506914656811889,3.318014599098595,54.74747474747475,fixed
initial_value_5_samples_500.csv,5,ols,10,14.906783512716393,3.0073214967309503,3.860930394699753,53.90781563126252,fixed
initial_value_5_samples_500.csv,5,ols,12,14.801629036615784,2.9398781656821695,3.8472885304608733,54.78615071283096,fixed
initial_value_5_samples_500.csv,5,ols,15,28.129826137692906,3.826410392762833,5.303755852006473,55.465587044534416,fixed
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,ols,3,0.8157308475275701,0.6732677188769927,0.9031781925664337,56.39999999999999,fixed
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,ols,4,0.8984836393486034,0.7027384391674206,0.9478837689023921,54.30861723446894,fixed
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,ols,5,1.6307552602234787,0.9346685429868185,1.2770102819568363,56.51302605210421,fixed
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,ols,8,1.8831212384556815,1.0356805554752175,1.3722686466052052,59.59595959595959,fixed
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,ols,10,2.7163111436680776,1.2590983492549639,1.648123521969175,54.90981963927856,fixed
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,ols,12,2.7051536980594837,1.2317366508455045,1.6447351452618393,59.063136456211815,fixed
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,ols,15,5.08066346940488,1.6065471586010531,2.254032712585352,56.68016194331984,fixed
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,ols,3,26.76601253751897,3.703670066551111,5.173587975237202,50.2,fixed
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,ols,4,44.687628837459236,4.802077970751152,6.6848806150491,51.503006012024045,fixed
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,ols,5,49.141743317501586,4.961882695071819,7.010117211395369,49.298597194388776,fixed
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,ols,8,55.46957431965936,5.462979266327651,7.447789894972828,52.323232323232325,fixed
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,ols,10,64.037317961961,5.854028448358929,8.002332032724023,52.30460921843687,fixed
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,ols,12,61.38413852302049,5.89125424929357,7.83480303026314,52.953156822810584,fixed
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,ols,15,68.51675339421973,6.386424581920567,8.277484726305433,53.036437246963565,fixed
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,3,5.856481057500629,1.8285201499083386,2.420016747359536,56.00000000000001,fixed
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,4,7.02409111955082,1.9591160635769296,2.650300194232876,55.11022044088176,fixed
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,5,8.802198160931473,2.197978723061627,2.966849871653683,52.30460921843687,fixed
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,8,17.643919589728256,2.95192683622965,4.200466591907173,50.70707070707071,fixed
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,10,27.439079971840954,3.8655361356335707,5.238232523651557,50.300601202404806,fixed
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,12,21.55961738941878,3.6342233750974056,4.643233505803771,54.17515274949084,fixed
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,15,25.80183592284078,3.8824969418004533,5.079550759943322,52.834008097166,fixed
initial_value_5_samples_500_a_0.3_b_150.csv,5,ols,3,32.28373625963042,4.1752454676925845,5.681877881442932,49.2,fixed
initial_value_5_samples_500_a_0.3_b_150.csv,5,ols,4,46.677385763198146,5.0284712630696635,6.83208502312421,50.1002004008016,fixed
initial_value_5_samples_500_a_0.3_b_150.csv,5,ols,5,42.737364689723215,4.908910731362137,6.537382097577226,50.1002004008016,fixed
initial_value_5_samples_500_a_0.3_b_150.csv,5,ols,8,67.07061909427361,6.120879580565656,8.18966538353513,54.34343434343434,fixed
initial_value_5_samples_500_a_0.3_b_150.csv,5,ols,10,57.6359086494649,5.486841065529959,7.591831705818096,55.71142284569138,fixed
initial_value_5_samples_500_a_0.3_b_150.csv,5,ols,12,93.32787544876452,7.130014721738692,9.660635354300695,53.56415478615071,fixed
initial_value_5_samples_500_a_0.3_b_150.csv,5,ols,15,114.6595204686298,8.114918883606396,10.707918587131198,55.66801619433198,fixed
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,3,0.06377311566930097,0.19091761965068701,0.2525333951565633,74.2,fixed
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,4,0.09528108528011775,0.2250102334151339,0.3086763438945682,70.94188376753507,fixed
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,5,0.13764194911258965,0.2573381721637228,0.37100127912527425,72.14428857715431,fixed
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,8,0.26716770408079965,0.36433253436727636,0.5168826792230512,70.70707070707071,fixed
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,10,0.30892170904540045,0.37855037241694023,0.5558072588995222,71.34268537074149,fixed
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,12,0.5120028124741403,0.479036062048299,0.7155437180732847,72.30142566191446,fixed
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,15,0.888000344368862,0.6416550178820584,0.9423377018717133,74.49392712550608,fixed
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,3,17.758252110979118,3.2236915062010043,4.214054118183476,52.800000000000004,fixed
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,4,23.948836808316994,3.5072038346774415,4.893754878241961,52.30460921843687,fixed
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,5,28.02028067012058,3.864997374267272,5.293418618446927,48.09619238476954,fixed
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,8,41.12227810887881,5.03031129244403,6.412665444951796,51.31313131313131,fixed
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,10,44.45462976500073,5.077476621956159,6.667430521947772,51.903807615230455,fixed
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,12,46.00878724539979,5.185667839812614,6.782977756516661,53.360488798370675,fixed
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,15,69.58704873796258,6.287287394824869,8.34188520287606,54.04858299595142,fixed
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,3,13.796854350264368,2.746179879382076,3.7144117098491343,54.2,fixed
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,4,16.60722770001175,3.0686223544540234,4.075196645563469,53.707414829659314,fixed
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,5,21.80345220076981,3.520010850808206,4.66941668742144,51.302605210420836,fixed
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,8,32.83396727216184,4.282323542431419,5.73009312944928,55.959595959595966,fixed
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,10,52.105955633135046,5.203847028017994,7.218445513622378,47.29458917835671,fixed
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,12,59.70134625312635,5.3658809165548265,7.726664626676012,53.360488798370675,fixed
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,15,51.28448277662117,5.2173521143359824,7.161318508251198,54.655870445344135,fixed
