file,z0,method,window_size,mse,mae,type
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,ols,12,74.7506981623488,6.305085868095924,fixed
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,diff_ols,12,55.627366464189826,5.906906943065266,fixed
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,ols,15,114.06238895321168,7.634306753318362,fixed
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,diff_ols,15,295.2535162059936,9.332181291670656,fixed
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,3,6.017292057790716,1.8275246024432397,fixed
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,diff_ols,3,245.76218056251818,5.466760537291557,fixed
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,4,7.953935888367476,2.051666048997498,fixed
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,diff_ols,4,115.69726406603321,3.752000678658963,fixed
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,5,9.150463569051285,2.224695293716946,fixed
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,diff_ols,5,105.11467865235286,3.506688525309067,fixed
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,8,18.932994680770044,3.138998444268486,fixed
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,diff_ols,8,12.350135738326319,2.4962996265195487,fixed
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,10,28.191993274722524,3.9249010206882513,fixed
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,diff_ols,10,20.320872684388135,3.2032960368494026,fixed
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,12,24.19367230068294,3.7813315093917104,fixed
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,diff_ols,12,16.932919711840004,3.0112618041601142,fixed
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,15,29.987577229233437,4.189188451844641,fixed
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,diff_ols,15,44.06215957867617,3.859084680568499,fixed
initial_value_5_samples_500_a_0.3_b_150.csv,5,ols,3,30.392810538846355,4.198651700222293,fixed
initial_value_5_samples_500_a_0.3_b_150.csv,5,diff_ols,3,479.974558741373,9.394865346529475,fixed
initial_value_5_samples_500_a_0.3_b_150.csv,5,ols,4,39.29817790639986,4.77651085819211,fixed
initial_value_5_samples_500_a_0.3_b_150.csv,5,diff_ols,4,148.41172307069468,5.482561529508377,fixed
initial_value_5_samples_500_a_0.3_b_150.csv,5,ols,5,41.191756781506484,4.887347046691806,fixed
initial_value_5_samples_500_a_0.3_b_150.csv,5,diff_ols,5,59.823028634540115,4.838836971588567,fixed
initial_value_5_samples_500_a_0.3_b_150.csv,5,ols,8,71.57990258612894,6.346663348221828,fixed
initial_value_5_samples_500_a_0.3_b_150.csv,5,diff_ols,8,48.19827000166227,5.138813427533518,fixed
initial_value_5_samples_500_a_0.3_b_150.csv,5,ols,10,75.07334712833776,6.273306832063115,fixed
initial_value_5_samples_500_a_0.3_b_150.csv,5,diff_ols,10,49.178092303871395,5.463666418631886,fixed
initial_value_5_samples_500_a_0.3_b_150.csv,5,ols,12,101.23844286149439,7.53968540634979,fixed
initial_value_5_samples_500_a_0.3_b_150.csv,5,diff_ols,12,70.1061372948782,6.470604058899014,fixed
initial_value_5_samples_500_a_0.3_b_150.csv,5,ols,15,143.64770451990884,8.85229119901862,fixed
initial_value_5_samples_500_a_0.3_b_150.csv,5,diff_ols,15,86.56572082258208,7.049362885253871,fixed
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,3,0.08669823276243888,0.22470177653481246,fixed
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,diff_ols,3,64.63529878136933,1.0953549681869437,fixed
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,4,0.14699935700688704,0.2851353793022868,fixed
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,diff_ols,4,11.206245315650085,0.8322890844827043,fixed
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,5,0.19607805054074595,0.30952200965357146,fixed
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,diff_ols,5,1.0344263660742665,0.6895200739655207,fixed
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,8,0.4431762488036327,0.4708635958711238,fixed
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,diff_ols,8,2.4039630270313874,1.0353682368679882,fixed
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,10,0.7554690058565074,0.589163323137082,fixed
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,diff_ols,10,3.282248979331605,1.1734708710379234,fixed
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,12,1.0553204029401593,0.7007260041508679,fixed
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,diff_ols,12,4.57876731944517,1.4066018648632215,fixed
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,15,1.890494788767182,0.9458379818099998,fixed
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,diff_ols,15,6.711389615021238,1.7091228414730597,fixed
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,3,17.058545213511717,3.1878122383629846,fixed
initial_value_5_samples_500_a_0.4_b_120.csv,5,diff_ols,3,416.8396468656929,6.805078917389194,fixed
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,4,23.30937833130328,3.577554191843272,fixed
initial_value_5_samples_500_a_0.4_b_120.csv,5,diff_ols,4,28.754773891858953,3.2780824803372752,fixed
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,5,31.252756309834474,4.204398762645233,fixed
initial_value_5_samples_500_a_0.4_b_120.csv,5,diff_ols,5,122.94923573275555,4.262149102838963,fixed
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,8,41.339296501812655,5.106519302514764,fixed
initial_value_5_samples_500_a_0.4_b_120.csv,5,diff_ols,8,24.721391675077946,3.685821696905264,fixed
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,10,45.08415541800171,5.103864522555414,fixed
initial_value_5_samples_500_a_0.4_b_120.csv,5,diff_ols,10,71.93974021296158,5.0077346404152445,fixed
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,12,46.21070979274631,5.213376258733859,fixed
initial_value_5_samples_500_a_0.4_b_120.csv,5,diff_ols,12,32.7541227313695,4.196112950537878,fixed
initial_value_5_samples_500_a_0.4_b_120.csv,5,ols,15,71.75094005827457,6.499519483707805,fixed
initial_value_5_samples_500_a_0.4_b_120.csv,5,diff_ols,15,46.35594162309326,5.141390281696199,fixed
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,3,13.356807031708907,2.7266327371998282,fixed
initial_value_5_samples_500_a_0.4_b_130.csv,5,diff_ols,3,679.5333606742039,8.855820826473725,fixed
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,4,17.240233733798558,3.1359709781680642,fixed
initial_value_5_samples_500_a_0.4_b_130.csv,5,diff_ols,4,97.27854810533714,4.073614367419477,fixed
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,5,23.446933970503355,3.6564618641842452,fixed
initial_value_5_samples_500_a_0.4_b_130.csv,5,diff_ols,5,163.98416210376294,4.524897300663511,fixed
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,8,36.078865501222175,4.3871746785411725,fixed
initial_value_5_samples_500_a_0.4_b_130.csv,5,diff_ols,8,130.09326026111586,4.952572129673104,fixed
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,10,56.825677895335495,5.452734695903972,fixed
initial_value_5_samples_500_a_0.4_b_130.csv,5,diff_ols,10,32.96046225034172,4.085567007157941,fixed
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,12,60.57007023080233,5.528274821175319,fixed
initial_value_5_samples_500_a_0.4_b_130.csv,5,diff_ols,12,38.717922054347035,4.779313620225871,fixed
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,15,65.38812298601694,5.623648241365961,fixed
initial_value_5_samples_500_a_0.4_b_130.csv,5,diff_ols,15,37.363837813989264,4.710384047829079,fixed
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,3,32.22136096901326,4.209902537843911,fixed
initial_value_5_samples_500_a_0.5_b_120.csv,5,diff_ols,3,1054.1766173127248,11.714821007712345,fixed
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,4,44.387859967978635,5.0127660278359,fixed
initial_value_5_samples_500_a_0.5_b_120.csv,5,diff_ols,4,97.40887653137284,5.1738329288823115,fixed
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,5,69.36888694452459,6.157619744262374,fixed
initial_value_5_samples_500_a_0.5_b_120.csv,5,diff_ols,5,145.2312482154114,5.862841588676784,fixed
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,8,121.61995388882329,7.843044688121383,fixed
initial_value_5_samples_500_a_0.5_b_120.csv,5,diff_ols,8,113.86280525246471,6.589221622344012,fixed
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,10,128.84387167260363,7.961468711849266,fixed
initial_value_5_samples_500_a_0.5_b_120.csv,5,diff_ols,10,66.27504252205857,6.0244781288243345,fixed
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,12,166.0612885651403,9.267967463405396,fixed
initial_value_5_samples_500_a_0.5_b_120.csv,5,diff_ols,12,87.20801187732901,7.087996974661062,fixed
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,15,161.08687455985844,9.740491817338558,fixed
initial_value_5_samples_500_a_0.5_b_120.csv,5,diff_ols,15,324.1490446068614,9.17487779627647,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,3,72.2260758614903,6.645081765001021,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,diff_ols,3,1108.8944068936908,14.819218370023243,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,4,87.53016776348606,7.164872228360211,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,diff_ols,4,539.4696340644857,11.15330686468878,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,5,137.89053297635448,8.860944093711698,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,diff_ols,5,363.70559611193147,8.681487381112737,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,8,195.37331614479498,10.90687745868355,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,diff_ols,8,253.74934440867813,9.950179835653726,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,10,269.93614728936143,12.353934915753355,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,diff_ols,10,451.80157875615095,11.728596037804492,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,12,285.20989398400417,12.555177023205887,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,diff_ols,12,366.4436547064849,11.229698858697647,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,15,428.04209199839016,15.150573113309182,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,diff_ols,15,215.4644923309429,11.031141818342398,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,ols,3,213.40377166698443,10.925260892730867,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,diff_ols,3,1228.9825848564087,18.214816879026554,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,ols,4,339.00312571749777,13.587771365161705,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,diff_ols,4,345.0188728883365,11.703672507303713,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,ols,5,372.88173647548064,14.211706008868946,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,diff_ols,5,432.38088323894436,12.908204806545767,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,ols,8,441.2295909088595,16.14291756968136,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,diff_ols,8,343.01578467715876,13.26943091964971,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,ols,10,658.7296532227484,19.671272852549745,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,diff_ols,10,624.7268692811263,17.147819773369875,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,ols,12,707.191799568919,20.55938303300084,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,diff_ols,12,514.6369482849861,16.54166885638409,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,ols,15,1070.094499074775,25.315369184109688,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,diff_ols,15,751.329407229779,18.447190642017585,fixed
initial_value_5_samples_500_a_0.6_b_100.csv,5,ols,3,19.178381855294518,3.305523376990852,fixed
initial_value_5_samples_500_a_0.6_b_100.csv,5,diff_ols,3,168.38348775261088,5.574671446407305,fixed
initial_value_5_samples_500_a_0.6_b_100.csv,5,ols,4,21.68387831063265,3.4388198076890633,fixed
initial_value_5_samples_500_a_0.6_b_100.csv,5,diff_ols,4,151.10342222475674,5.262057795892765,fixed
initial_value_5_samples_500_a_0.6_b_100.csv,5,ols,5,33.14993269389162,4.121368629620896,fixed
initial_value_5_samples_500_a_0.6_b_100.csv,5,diff_ols,5,188.8271815137625,5.071167934766075,fixed
initial_value_5_samples_500_a_0.6_b_100.csv,5,ols,8,51.15504588654913,5.306666613233836,fixed
initial_value_5_samples_500_a_0.6_b_100.csv,5,diff_ols,8,29.77689483663418,3.9538876657982693,fixed
initial_value_5_samples_500_a_0.6_b_100.csv,5,ols,10,66.02582736158354,5.696328567855179,fixed
initial_value_5_samples_500_a_0.6_b_100.csv,5,diff_ols,10,66.40212666914732,5.285711315604083,fixed
initial_value_5_samples_500_a_0.6_b_100.csv,5,ols,12,84.41965419742698,6.273214546611824,fixed
initial_value_5_samples_500_a_0.6_b_100.csv,5,diff_ols,12,41.24729794376038,4.7062988910787835,fixed
initial_value_5_samples_500_a_0.6_b_100.csv,5,ols,15,87.40738749836628,7.1109149117721255,fixed
initial_value_5_samples_500_a_0.6_b_100.csv,5,diff_ols,15,48.145178027409855,5.144207995896419,fixed
initial_value_5_samples_500_a_0.6_b_90_delta_1.5.csv,5,ols,3,14.810375856265077,2.9589365369397753,fixed
initial_value_5_samples_500_a_0.6_b_90_delta_1.5.csv,5,diff_ols,3,325.8566774918076,6.811968265891188,fixed
initial_value_5_samples_500_a_0.6_b_90_delta_1.5.csv,5,ols,4,15.93694940403215,2.926547682104925,fixed
initial_value_5_samples_500_a_0.6_b_90_delta_1.5.csv,5,diff_ols,4,87.55086703294377,3.8221984408245158,fixed
initial_value_5_samples_500_a_0.6_b_90_delta_1.5.csv,5,ols,5,22.113619706855054,3.5131875208372394,fixed
initial_value_5_samples_500_a_0.6_b_90_delta_1.5.csv,5,diff_ols,5,34.70604190454201,3.0940729723480045,fixed
initial_value_5_samples_500_a_0.6_b_90_delta_1.5.csv,5,ols,8,31.363040455402153,4.283372206876598,fixed
initial_value_5_samples_500_a_0.6_b_90_delta_1.5.csv,5,diff_ols,8,38.011432670823396,3.606423875998036,fixed
initial_value_5_samples_500_a_0.6_b_90_delta_1.5.csv,5,ols,10,31.745774005784487,4.456807405239695,fixed
initial_value_5_samples_500_a_0.6_b_90_delta_1.5.csv,5,diff_ols,10,20.68110340825021,3.5537032802485937,fixed
initial_value_5_samples_500_a_0.6_b_90_delta_1.5.csv,5,ols,12,50.830022143454194,5.249942199739787,fixed
initial_value_5_samples_500_a_0.6_b_90_delta_1.5.csv,5,diff_ols,12,29.802235885846166,3.953832209425135,fixed
initial_value_5_samples_500_a_0.6_b_90_delta_1.5.csv,5,ols,15,55.000269472690015,5.932365704943453,fixed
initial_value_5_samples_500_a_0.6_b_90_delta_1.5.csv,5,diff_ols,15,34.63993152660866,4.452760522780464,fixed
initial_value_5_samples_500_a_0.8_b_100.csv,5,ols,3,0.19331202303286593,0.2987145304236435,fixed
initial_value_5_samples_500_a_0.8_b_100.csv,5,diff_ols,3,163.78696630763685,2.288079918366945,fixed
initial_value_5_samples_500_a_0.8_b_100.csv,5,ols,4,0.29114478024023804,0.3425788844112394,fixed
initial_value_5_samples_500_a_0.8_b_100.csv,5,diff_ols,4,1.097719964396608,0.5844605403188666,fixed
initial_value_5_samples_500_a_0.8_b_100.csv,5,ols,5,0.35898319495405384,0.3761774370474095,fixed
initial_value_5_samples_500_a_0.8_b_100.csv,5,diff_ols,5,1.5461652818360616,0.6850031083047275,fixed
initial_value_5_samples_500_a_0.8_b_100.csv,5,ols,8,1.2760505225924055,0.5929685241316752,fixed
initial_value_5_samples_500_a_0.8_b_100.csv,5,diff_ols,8,3.2589849698668,0.9437421037483174,fixed
initial_value_5_samples_500_a_0.8_b_100.csv,5,ols,10,1.9738993923736983,0.75705324382112,fixed
initial_value_5_samples_500_a_0.8_b_100.csv,5,diff_ols,10,4.742138687768054,1.1449494943305552,fixed
initial_value_5_samples_500_a_0.8_b_100.csv,5,ols,12,2.4946668830552547,0.8281381483631882,fixed
initial_value_5_samples_500_a_0.8_b_100.csv,5,diff_ols,12,6.320301172660561,1.2889906255597385,fixed
initial_value_5_samples_500_a_0.8_b_100.csv,5,ols,15,5.6567892734327465,1.2282046120332917,fixed
initial_value_5_samples_500_a_0.8_b_100.csv,5,diff_ols,15,9.171940744751202,1.5908438915244354,fixed
initial_value_5_samples_500_a_0.8_b_80_delta_0.3.csv,5,ols,3,0.5514822072421897,0.5595008071077808,fixed
initial_value_5_samples_500_a_0.8_b_80_delta_0.3.csv,5,diff_ols,3,162.05912534933174,3.075645444419719,fixed
initial_value_5_samples_500_a_0.8_b_80_delta_0.3.csv,5,ols,4,0.8333904897167694,0.6982342695376356,fixed
initial_value_5_samples_500_a_0.8_b_80_delta_0.3.csv,5,diff_ols,4,35.46242561099029,1.2894626661981907,fixed
initial_value_5_samples_500_a_0.8_b_80_delta_0.3.csv,5,ols,5,1.04816341114309,0.7810770061598048,fixed
initial_value_5_samples_500_a_0.8_b_80_delta_0.3.csv,5,diff_ols,5,22.25501896483631,1.2171041093829544,fixed
initial_value_5_samples_500_a_0.8_b_80_delta_0.3.csv,5,ols,8,1.1915840981088992,0.8505199581076223,fixed
initial_value_5_samples_500_a_0.8_b_80_delta_0.3.csv,5,diff_ols,8,3.4724916310754894,1.1555256014264574,fixed
initial_value_5_samples_500_a_0.8_b_80_delta_0.3.csv,5,ols,10,2.0141019293566824,1.064858968327931,fixed
initial_value_5_samples_500_a_0.8_b_80_delta_0.3.csv,5,diff_ols,10,6.257573983220733,1.445425964182215,fixed
initial_value_5_samples_500_a_0.8_b_80_delta_0.3.csv,5,ols,12,2.4631300338900606,1.2047730090349338,fixed
initial_value_5_samples_500_a_0.8_b_80_delta_0.3.csv,5,diff_ols,12,5.3707897615604425,1.5228764324835669,fixed
initial_value_5_samples_500_a_0.8_b_80_delta_0.3.csv,5,ols,15,4.7349164438680225,1.6458859082725987,fixed
initial_value_5_samples_500_a_0.8_b_80_delta_0.3.csv,5,diff_ols,15,7.3555435688509405,1.7010580783062323,fixed
initial_value_5_samples_500_a_1.0_b_80.csv,5,ols,3,0.36591781943203605,0.4523538361591417,fixed
initial_value_5_samples_500_a_1.0_b_80.csv,5,diff_ols,3,82.85882900477743,1.8930392931138862,fixed
initial_value_5_samples_500_a_1.0_b_80.csv,5,ols,4,0.544074096776088,0.5293513103991172,fixed
initial_value_5_samples_500_a_1.0_b_80.csv,5,diff_ols,4,72.91649878694112,1.6975923001787072,fixed
initial_value_5_samples_500_a_1.0_b_80.csv,5,ols,5,0.685228671815439,0.614227007048643,fixed
initial_value_5_samples_500_a_1.0_b_80.csv,5,diff_ols,5,1.3881270591834132,0.7034650327941526,fixed
initial_value_5_samples_500_a_1.0_b_80.csv,5,ols,8,1.3331617974615668,0.7880859254326196,fixed
initial_value_5_samples_500_a_1.0_b_80.csv,5,diff_ols,8,2.8665562151789112,0.9543961280809579,fixed
initial_value_5_samples_500_a_1.0_b_80.csv,5,ols,10,1.8970668584098909,0.9283227484191536,fixed
initial_value_5_samples_500_a_1.0_b_80.csv,5,diff_ols,10,4.080858582499632,1.10526054963524,fixed
initial_value_5_samples_500_a_1.0_b_80.csv,5,ols,12,2.513075889717752,1.022508611680581,fixed
initial_value_5_samples_500_a_1.0_b_80.csv,5,diff_ols,12,5.260982665953966,1.2118886768449821,fixed
initial_value_5_samples_500_a_1.0_b_80.csv,5,ols,15,4.94004010684325,1.3504290939057293,fixed
initial_value_5_samples_500_a_1.0_b_80.csv,5,diff_ols,15,7.74062679053175,1.4903868586962847,fixed
initial_value_80_samples_500.csv,80,ols,3,6.0432992787167485,1.928083109987865,fixed
initial_value_80_samples_500.csv,80,diff_ols,3,36.602691202178754,3.1458896873647175,fixed
initial_value_80_samples_500.csv,80,ols,4,8.186178803390145,2.136919264389096,fixed
