time,value
0.0,5.0
0.02,12.458895068562915
0.04,15.010885608750296
0.06,18.67386258897286
0.08,25.906131199817224
0.1,21.448927170828867
0.12,27.26280804851895
0.14,21.604060265153567
0.16,29.273622406231258
0.18,26.29636414796689
0.2,29.573952769809267
0.22,31.448719697349105
0.24,31.14679413355703
0.26,39.348764749074675
0.28,40.64750701203118
0.3,28.396979466779527
0.32,24.88984840324718
0.34,36.88355953550102
0.36,33.82497228040828
0.38,32.94386693821425
0.4,20.59624208148113
0.42,17.670869608911772
0.44,14.349680768314323
0.46,21.44913572223559
0.48,19.103658600590833
0.5,22.889541406930825
0.52,26.647303070621675
0.54,28.004281418499705
0.56,35.196496614045536
0.58,28.604210651315963
0.6,33.203220299856426
0.62,44.780935996721425
0.64,40.4041030973641
0.66,43.48547652560151
0.68,45.51711803812439
0.7,36.887193067276655
0.72,30.313849384838697
0.74,23.805144513428697
0.76,20.52942762782397
0.78,25.478567796107384
0.8,14.24448318794839
0.82,25.66416865281462
0.84,40.98306449065542
0.86,42.199515832080166
0.88,49.7036849223015
0.9,41.97483376369043
0.92,34.76339166454899
0.94,44.162814992040566
0.96,42.05122860326179
0.98,42.15355347895215
1.0,36.152240830899714
1.02,40.3555064933672
1.04,40.52091033722748
1.06,33.83665693571072
1.08,30.82879604198889
1.1,28.469144217463597
1.12,30.4876022900687
1.14,24.35409659137464
1.16,32.031989348363766
1.18,28.58672921580098
1.2,35.87694601873394
1.22,41.951020583943375
1.24,44.105177243933525
1.26,38.51636239673864
1.28,33.90793470775444
1.3,20.232920146503293
1.32,8.353967172087803
1.34,9.190827749639377
1.36,13.51670653263714
1.38,16.9503253575722
1.4,16.176232201225513
1.42,20.1012754721265
1.44,15.376972305630927
1.46,14.813858083932551
1.48,11.048558750534145
1.5,20.17968322970178
1.52,25.710369304492925
1.54,44.262412358419525
1.56,51.33409151840831
1.58,55.3290987670112
1.6,58.02368820180636
1.62,48.573243847589325
1.64,39.06779623011209
1.66,36.51746250932564
1.68,32.64186261577507
1.7,36.034476803266344
1.72,37.035218462533265
1.74,49.41291069598721
1.76,52.57307805571903
1.78,51.24980410735309
1.8,65.25370096451098
1.82,67.28439006552954
1.84,91.10621268685526
1.86,111.24410293935094
1.88,92.21174151106084
1.9,97.82515361318221
1.92,89.30055472743884
1.94,92.03991256353004
1.96,89.19936210608417
1.98,96.69668318648708
2.0,81.36061535367463
2.02,103.70569874940628
