time,value
0.0,80.0
0.02,80.22552386353772
0.04,79.64145663104861
0.06,81.6265395011172
0.08,82.10077455814839
0.1,81.29148628580442
0.12,80.98381961142381
0.14,81.67498034773244
0.16,82.14598293739442
0.18,84.00796730995394
0.2,84.68822102179115
0.22,85.27455119949936
0.24,85.13362221795184
0.26,83.59255910303256
0.28,83.68302695999584
0.3,84.58074020247568
0.32,87.95315339554028
0.34,89.55467479550676
0.36,90.62856559124373
0.38,91.93226639798738
0.4,95.35360640512022
0.42,95.21283670668953
0.44,92.68285735025643
0.46,90.858496484868
0.48,92.77204189088526
0.5,94.62565005679704
0.52,94.15647525238228
0.54,94.36797639388286
0.56,91.51460474136792
0.58,92.91976014553185
0.6,95.07484497834605
0.62,94.71357907241061
0.64,93.34631838931743
0.66,92.19444823295474
0.68,92.21305498812106
0.7,92.44783612663933
0.72,94.28273908813038
0.74,91.86052614962891
0.76,91.3375826505634
0.78,91.47388757595343
0.8,88.70556109783907
0.82,88.43221298921219
0.84,89.88834153351473
0.86,91.5989165522265
0.88,91.9940305806226
0.9,89.40300919932059
0.92,91.63881221588156
0.94,91.46434450852504
0.96,94.98102492735637
0.98,93.84849737445505
1.0,95.58606689343675
1.02,96.0417503336163
1.04,96.01327726812745
1.06,98.85724516466514
1.08,100.31746221672294
1.1,99.96132323235494
1.12,100.75025626926565
1.14,101.53925823379191
1.16,102.15612340615763
1.18,102.50510012573467
1.2,102.77566852573646
1.22,103.1124682634866
1.24,104.4760728145075
1.26,102.97947180147634
1.28,101.0311340411834
1.3,99.48296516025026
1.32,98.97551803546354
1.34,98.66678702632171
1.36,101.06362916350811
1.38,101.42421181434595
1.4,103.37163815520235
1.42,102.82540253907763
1.44,104.08099689729485
1.46,105.25318382168008
1.48,105.68152898211622
1.5,104.36578315490654
1.52,105.08230083176124
1.54,104.1887620697071
1.56,103.07558124325712
1.58,101.47387334058232
1.6,102.84525167504447
1.62,103.44083732395885
1.64,104.26459817182054
1.66,104.60814638380626
1.68,104.82085150674378
1.7,107.34633496348575
1.72,108.18397140996893
1.74,107.12039781332506
1.76,106.12935124512774
1.78,104.98997696799319
1.8,105.90652349933163
1.82,104.62467579904391
