time,value
0.0,5.0
0.02,6.506887264386711
0.04,7.967866326964259
0.06,9.42428772486099
0.08,10.898727655074445
0.1,12.353887735597297
0.12,13.77813979236048
0.14,15.111149621887819
0.16,16.422391553845912
0.18,17.72955961566092
0.2,18.999382450738487
0.22,20.290923897848653
0.24,21.62296277917543
0.26,22.85408452033081
0.28,24.009518977073043
0.3,25.170671362790216
0.32,26.5632154216298
0.34,27.765214084957126
0.36,28.88302406757502
0.38,29.928340037772845
0.4,31.159859546311893
0.42,32.3503958793661
0.44,33.35416312905863
0.46,34.41106340330181
0.48,35.38525386734541
0.5,36.42572983094271
0.52,37.45618461372606
0.54,38.53521968549524
0.56,39.52953558447188
0.58,40.453960210018366
0.6,41.46986948230501
0.62,42.42469699816835
0.64,43.27907431775954
0.66,44.219091163725025
0.68,45.11592767558601
0.7,45.94880775909908
0.72,46.68905886706354
0.74,47.53329332216951
0.76,48.05657302047101
0.78,48.8486840606966
0.8,49.69185618679645
0.82,50.556993850825535
0.84,51.48492386430434
0.86,52.31204559969347
0.88,52.88132462834364
0.9,53.7471761668547
0.92,54.49572531924165
0.94,55.206348359480856
0.96,55.83792437228722
0.98,56.483033413584785
1.0,56.869688422234404
1.02,57.676140496099585
1.04,58.22208170167588
1.06,58.71606677752713
1.08,59.43599973977407
1.1,60.19062822157844
1.12,60.883231916606185
1.14,61.57739559882724
1.16,62.165070473049205
1.18,62.533493346486694
1.2,62.97513914198944
1.22,63.29589502534111
1.24,63.857194253488046
1.26,64.28820190432575
1.28,64.95652915023051
1.3,65.58228202099896
1.32,66.08786509982644
1.34,66.33495795169837
1.36,66.60985259080394
1.38,67.19912879865858
1.4,67.87060908667429
1.42,68.29658054787258
1.44,68.76345899578867
1.46,69.29198738273101
1.48,69.62354283171395
1.5,70.14157829877716
1.52,70.49247530819632
1.54,70.92635303412474
1.56,71.27312323581627
1.58,71.65010953755835
1.6,72.26163474540662
1.62,72.6945374960608
1.64,73.12491233037034
1.66,73.5149977881266
1.68,73.95834097996443
1.7,74.11632528799794
1.72,74.40720292286102
1.74,74.64692833630652
1.76,74.92198277378796
1.78,75.39869797564906
1.8,75.76776597237426
1.82,76.31193226479819
1.84,76.76343768727467
1.86,76.97962258395944
1.88,77.38472480780806
1.9,77.91198247205577
1.92,78.03226634924528
1.94,78.26448820039482
1.96,78.50636416577386
1.98,78.93020576475641
2.0,79.35655107309371
2.02,79.63806669719665
2.04,79.90802548737393
2.06,80.20969140492593
2.08,80.31129579566108
2.1,80.47394279814955
2.12,80.85538542176593
2.14,81.19913234017892
2.16,81.56996433903177
2.18,81.77905521501859
2.2,82.16030105901157
2.22,82.4407320100183
2.24,82.8964831445391
2.26,83.06555697807791
2.28,83.57390210443604
2.3,83.97858027322074
2.32,84.48506452380882
2.34,84.7635821651863
2.36,85.01110498539387
2.38,85.42119549794427
2.4,85.5412742508577
2.42,85.72179861013427
2.44,85.93102966272826
