time,value,index,predicted_value,stepwise_value
0.252,10.256402669938488,127,10.356174761808711,10.204741948199464
0.254,10.36705303979362,128,10.295601636365014,10.204741948199464
0.256,10.356975813162348,129,10.235028510921314,10.204741948199464
0.258,10.19671858404514,130,10.174455385477614,10.204741948199464
0.26,9.916568801812698,131,10.113882260033915,10.204741948199464
0.262,10.134732780444596,132,10.053309134590217,10.204741948199464
0.264,10.145338337491596,133,10.268929405480781,10.162114678557225
0.266,10.357053112557477,134,10.22620351471136,10.162114678557225
0.268,10.309361379624034,135,10.183477623941938,10.162114678557225
0.27,10.065572247313598,136,10.140751733172515,10.162114678557225
0.272,9.965290495636069,137,10.098025842403093,10.162114678557225
0.274,10.130072498720589,138,10.05529995163367,10.162114678557225
0.276,10.180770435099951,139,10.324510901578753,10.615808411422943
0.278,10.418264591173973,140,10.441029905516428,10.615808411422943
0.28,10.666844599486796,141,10.557548909454106,10.615808411422943
0.282,10.91571593268383,142,10.67406791339178,10.615808411422943
0.284,10.789167398412705,143,10.790586917329456,10.615808411422943
0.286,10.72408751168104,144,10.907105921267133,10.615808411422943
0.288,10.65550350777864,145,10.693211242005349,10.834255403725189
0.29,10.791731504352478,146,10.749628906693285,10.834255403725189
0.292,10.825266990807869,147,10.806046571381222,10.834255403725189
0.294,10.898457985223637,148,10.862464236069158,10.834255403725189
0.296,10.809361424664942,149,10.918881900757096,10.834255403725189
0.298,11.025211009523568,150,10.975299565445033,10.834255403725189
0.3,11.227857815673769,151,11.35336554401988,11.719080595910887
0.302,11.602750100169429,152,11.499651564776283,11.719080595910887
0.304,11.761347124010475,153,11.645937585532685,11.719080595910887
0.306,11.74260273242836,154,11.792223606289088,11.719080595910887
0.308,11.906667259490709,155,11.93850962704549,11.719080595910887
0.31,12.07325854369224,156,12.084795647801892,11.719080595910887
0.312,12.479985667256448,157,12.231081668558295,12.5967967204493
0.314,12.221811541607916,158,12.377367689314697,12.5967967204493
0.316,12.11142843641904,159,12.5236537100711,12.5967967204493
0.318,12.30164525871488,160,12.669939730827501,12.5967967204493
0.32,12.629763528751514,161,12.816225751583904,12.5967967204493
0.322,12.441931225514017,162,12.962511772340306,12.5967967204493
0.324,12.745146171112776,163,12.71394282549894,12.972476949609794
0.326,12.932897432141218,164,12.817356475143281,12.972476949609794
0.328,12.96196795304564,165,12.920770124787623,12.972476949609794
0.33,13.30079163483198,166,13.024183774431965,12.972476949609794
0.332,13.175865071660782,167,13.127597424076306,12.972476949609794
0.334,13.250448589586806,168,13.231011073720648,12.972476949609794
0.336,13.130234673805775,169,13.290659086962343,13.350213473141821
0.338,13.471863848997462,170,13.314480841434134,13.350213473141821
0.34,13.497388338478103,171,13.338302595905926,13.350213473141821
0.342,13.270372744942772,172,13.362124350377718,13.350213473141821
0.344,13.26478212353266,173,13.38594610484951,13.350213473141821
0.346,13.466639109094274,174,13.4097678593213,13.350213473141821
0.348,13.389346915167827,175,13.433589613793092,13.493143999972569
0.35,13.235144205413825,176,13.457411368264884,13.493143999972569
0.352,13.276209577599811,177,13.481233122736676,13.493143999972569
0.354,13.412335562997535,178,13.505054877208467,13.493143999972569
0.356,13.339079028985738,179,13.528876631680259,13.493143999972569
0.358,13.20063719346392,180,13.55269838615205,13.493143999972569
0.36,13.329027986735708,181,13.303297620572643,13.29321871430317
0.362,13.483657331062364,182,13.299266058064854,13.29321871430317
0.364,13.33583949625295,183,13.295234495557064,13.29321871430317
0.366,13.50595222960373,184,13.291202933049275,13.29321871430317
0.368,13.520875090411115,185,13.287171370541486,13.29321871430317
0.37,13.525852115209004,186,13.283139808033697,13.29321871430317
0.372,13.992485890196,187,13.894101020883172,13.821239750235833
0.374,13.805887854806045,188,13.864956512624236,13.821239750235833
0.376,13.813344542579848,189,13.8358120043653,13.821239750235833
0.378,13.654363959075482,190,13.806667496106364,13.821239750235833
0.38,13.893882731975316,191,13.777522987847428,13.821239750235833
0.382,13.767473522782767,192,13.748378479588492,13.821239750235833
0.384,13.605606104510116,193,13.719233971329555,13.646372700682214
0.386,13.48905491284482,194,13.690089463070619,13.646372700682214
0.388,13.755135689954628,195,13.660944954811683,13.646372700682214
0.39,13.720879725415625,196,13.631800446552747,13.646372700682214
0.392,13.539202576922127,197,13.602655938293811,13.646372700682214
0.394,13.89371755863604,198,13.573511430034875,13.646372700682214
0.396,13.732801094553558,199,13.582315944196257,14.015262721217029
0.398,13.742299877878477,200,13.755494655004565,14.015262721217029
0.4,13.798072786740676,201,13.928673365812875,14.015262721217029
0.402,13.916269322431967,202,14.101852076621183,14.015262721217029
0.404,14.338351389742144,203,14.275030787429491,14.015262721217029
0.406,14.56378185595526,204,14.4482094982378,14.015262721217029
0.408,14.626434056329824,205,14.621388209046108,15.054334986066879
0.41,15.09924592090414,206,14.794566919854416,15.054334986066879
0.412,14.915864486919848,207,14.967745630662725,15.054334986066879
0.414,14.817185657247547,208,15.140924341471033,15.054334986066879
0.416,14.863297623992793,209,15.314103052279341,15.054334986066879
0.418,14.797339455673503,210,15.48728176308765,15.054334986066879
0.42,14.80937989561218,211,15.25869991669436,15.575797848488035
0.422,15.031718468264271,212,15.385539089411829,15.575797848488035
0.424,15.240940897103862,213,15.5123782621293,15.575797848488035
0.426,15.41519532606248,214,15.639217434846769,15.575797848488035
0.428,15.540352260689776,215,15.766056607564238,15.575797848488035
0.43,15.606345069843828,216,15.892895780281709,15.575797848488035
0.432,15.489876638131486,217,15.718301971656711,15.982549925514524
0.434,15.82927610863951,218,15.824001153199836,15.982549925514524
0.436,15.996978793110207,219,15.92970033474296,15.982549925514524
0.438,16.055886652259428,220,16.035399516286084,15.982549925514524
0.44,16.302201037814648,221,16.14109869782921,15.982549925514524
0.442,16.38630415851289,222,16.246797879372334,15.982549925514524
0.444,16.644333648053404,223,16.38782909353876,16.65776658862639
0.446,16.547415418397943,224,16.49580409157381,16.65776658862639
0.448,16.600898923607488,225,16.603779089608864,16.65776658862639
0.45,16.346568760786994,226,16.711754087643914,16.65776658862639
0.452,16.347073979522797,227,16.81972908567897,16.65776658862639
0.454,16.03229606161318,228,16.92770408371402,16.65776658862639
0.456,16.13026346726577,229,16.1321744902362,16.43809854838638
0.458,16.19706736468634,230,16.254544113496273,16.43809854838638
0.46,16.409035859610313,231,16.376913736756347,16.43809854838638
0.462,16.544317636003395,232,16.499283360016417,16.43809854838638
0.464,16.67468017283019,233,16.62165298327649,16.43809854838638
0.466,16.67322678992134,234,16.744022606536564,16.43809854838638
0.468,16.73280177662595,235,16.61235192038802,16.452089541463966
0.47,16.67581670892042,236,16.5482469688184,16.452089541463966
0.472,16.219525587380573,237,16.48414201724878,16.452089541463966
0.474,16.236490156160144,238,16.42003706567916,16.452089541463966
0.476,16.40434698115759,239,16.35593211410954,16.452089541463966
0.478,16.44355603854041,240,16.29182716253992,16.452089541463966
0.48,16.432598448024986,241,16.434792797844494,16.785276508606074
0.482,16.364137607062258,242,16.574986282149126,16.785276508606074
0.484,16.871121986832975,243,16.71517976645376,16.785276508606074
0.486,17.04415806831052,244,16.85537325075839,16.785276508606074
0.488,17.00453688826296,245,16.995566735063022,16.785276508606074
0.49,16.995106053141473,246,17.135760219367654,16.785276508606074
0.492,16.962082418582295,247,16.934362309022717,16.961699826313943
0.494,16.952287490162654,248,16.945297315939207,16.961699826313943
0.496,16.890125594994302,249,16.956232322855698,16.961699826313943
