time,value,index,predicted_value,stepwise_value
0.0,80.0,1,,
0.002,79.13633307373382,2,,
0.004,79.90743460187986,3,,
0.006,80.41482843739551,4,,
0.008,80.67028805939826,5,,
0.01,80.72772153421177,6,,
0.012,80.58845561984042,7,,
0.014,80.59450568121629,8,,
0.016,81.11614595154042,9,,
0.018,80.64634037971433,10,,
0.02,80.41685182460421,11,80.5238716632945,80.62485954631208
0.022,80.83687075538913,12,80.54631341507618,80.62485954631208
0.024,80.99291274462175,13,80.56875516685787,80.62485954631208
0.026,80.49837214222542,14,80.59119691863955,80.62485954631208
0.028,80.30091231043784,15,80.61363867042124,80.62485954631208
0.03,80.47332948990736,16,80.63608042220292,80.62485954631208
0.032,80.32037336925805,17,80.65852217398461,80.62485954631208
0.034,80.27693000021554,18,80.68096392576629,80.62485954631208
0.036,80.96712091177577,19,80.70340567754798,80.62485954631208
0.038,81.16492191468583,20,80.72584742932966,80.62485954631208
0.04,80.97688451411157,21,80.55598846093858,79.74386600036358
0.042,80.24106340925674,22,80.37551680303302,79.74386600036358
0.044,80.24271813111262,23,80.19504514512747,79.74386600036358
0.046,79.4736245376574,24,80.01457348722191,79.74386600036358
0.048,79.62155104123946,25,79.83410182931635,79.74386600036358
0.05,79.88091374685622,26,79.65363017141081,79.74386600036358
0.052,79.23096361180569,27,79.47315851350525,79.74386600036358
0.054,79.64954295142496,28,79.2926868555997,79.74386600036358
0.056,79.47825281688837,29,79.11221519769414,79.74386600036358
0.058,78.64314524328248,30,78.93174353978858,79.74386600036358
0.06,79.02181483437579,31,78.94519003107268,78.47086320347883
0.062,78.81868066446022,32,78.83978406938516,78.47086320347883
0.064,78.88936337018472,33,78.73437810769764,78.47086320347883
0.066,78.60969169431024,34,78.62897214601011,78.47086320347883
0.068,78.41613601971704,35,78.52356618432259,78.47086320347883
0.07,78.32901111297963,36,78.41816022263507,78.47086320347883
0.072,78.23169282764465,37,78.31275426094754,78.47086320347883
0.074,78.0823209971151,38,78.20734829926002,78.47086320347883
0.076,77.99891838588337,39,78.1019423375725,78.47086320347883
0.078,78.31100212811778,40,77.99653637588496,78.47086320347883
0.08,78.29980480962392,41,78.62096362275445,78.77712280175524
0.082,78.83872163672959,42,78.6556656625324,78.77712280175524
