time,value,index,predicted_value,stepwise_value
0.0,80.0,1,,
0.002,79.13633307373382,2,,
0.004,79.90743460187986,3,,
0.006,80.41482843739551,4,,
0.008,80.67028805939826,5,,
0.01,80.72772153421177,6,,
0.012,80.58845561984042,7,,
0.014,80.59450568121629,8,,
0.016,81.11614595154042,9,,
0.018,80.64634037971433,10,,
0.02,80.41685182460421,11,,
0.022,80.83687075538913,12,,
0.024,80.99291274462175,13,,
0.026,80.49837214222542,14,,
0.028,80.30091231043784,15,,
0.03,80.47332948990736,16,,
0.032,80.32037336925805,17,,
0.034,80.27693000021554,18,,
0.036,80.96712091177577,19,,
0.038,81.16492191468583,20,,
0.04,80.97688451411157,21,80.35357950850205,79.10736460192113
0.042,80.24106340925674,22,80.22239899201986,79.10736460192113
0.044,80.24271813111262,23,80.09121847553766,79.10736460192113
0.046,79.4736245376574,24,79.96003795905546,79.10736460192113
0.048,79.62155104123946,25,79.82885744257325,79.10736460192113
0.05,79.88091374685622,26,79.69767692609105,79.10736460192113
0.052,79.23096361180569,27,79.56649640960885,79.10736460192113
0.054,79.64954295142496,28,79.43531589312664,79.10736460192113
0.056,79.47825281688837,29,79.30413537664444,79.10736460192113
0.058,78.64314524328248,30,79.17295486016224,79.10736460192113
0.06,79.02181483437579,31,79.04177434368003,79.10736460192113
0.062,78.81868066446022,32,78.91059382719783,79.10736460192113
0.064,78.88936337018472,33,78.77941331071563,79.10736460192113
0.066,78.60969169431024,34,78.64823279423342,79.10736460192113
0.068,78.41613601971704,35,78.51705227775122,79.10736460192113
0.07,78.32901111297963,36,78.38587176126903,79.10736460192113
0.072,78.23169282764465,37,78.25469124478683,79.10736460192113
0.074,78.0823209971151,38,78.12351072830462,79.10736460192113
0.076,77.99891838588337,39,77.99233021182242,79.10736460192113
0.078,78.31100212811778,40,77.86114969534022,79.10736460192113
0.08,78.29980480962392,41,78.97888245784671,78.6137198674503
0.082,78.83872163672959,42,78.94044429043656,78.6137198674503
0.084,79.07365111931261,43,78.90200612302641,78.6137198674503
0.086,78.63935275738604,44,78.86356795561628,78.6137198674503
0.088,78.83023715389665,45,78.82512978820613,78.6137198674503
0.09,78.31067694863877,46,78.78669162079598,78.6137198674503
