time,value,index,predicted_value,stepwise_value
0.0,5.0,1,,
0.002,5.241342501696462,2,,
0.004,5.314432371702065,3,,
0.006,5.406529715472505,4,,
0.008,5.555403166514007,5,,
0.01,5.519555717684689,6,,
0.012,5.64009488465192,7,,
0.014,5.588542500953636,8,,
0.016,5.739109167315985,9,5.776691334679524,6.0632664559479466
0.018,5.727875203260303,10,5.858569940756216,6.0632664559479466
0.02,5.805506178963421,11,5.940448546832909,6.0632664559479466
0.022,5.862219435191599,12,6.0223271529096,6.0632664559479466
0.024,5.889124648399857,13,6.104205758986293,6.0632664559479466
0.026,6.032779607699451,14,6.186084365062985,6.0632664559479466
0.028,6.082016557284306,15,6.267962971139677,6.0632664559479466
0.03,5.965585828865227,16,6.349841577216369,6.0632664559479466
0.032,5.944447443040329,17,6.07808043882749,6.071202280616352
0.034,6.157989309056424,18,6.076115250767165,6.071202280616352
0.036,6.150742112222913,19,6.07415006270684,6.071202280616352
0.038,6.170201097464314,20,6.072184874646514,6.071202280616352
0.04,6.032232225113813,21,6.070219686586189,6.071202280616352
0.042,6.007825730945249,22,6.068254498525864,6.071202280616352
0.044,5.970270711966839,23,6.066289310465539,6.071202280616352
0.046,6.135909615120912,24,6.064324122405213,6.071202280616352
0.048,6.122197945924604,25,6.133238737614772,6.395366394876217
0.05,6.214446160243472,26,6.208132353975185,6.395366394876217
0.052,6.302986002699132,27,6.283025970335598,6.395366394876217
0.054,6.3521787811054775,28,6.357919586696011,6.395366394876217
0.056,6.489326852375811,29,6.432813203056424,6.395366394876217
0.058,6.431047406150785,30,6.507706819416836,6.395366394876217
0.06,6.528944079117222,31,6.582600435777249,6.395366394876217
0.062,6.721803931393265,32,6.657494052137662,6.395366394876217
0.064,6.701706423872162,33,6.7731532857629295,6.716437595445194
0.066,6.773831211624978,34,6.756948802815005,6.716437595445194
0.068,6.832325808302943,35,6.740744319867081,6.716437595445194
0.07,6.760144424301876,36,6.724539836919156,6.716437595445194
0.072,6.702496150565965,37,6.708335353971231,6.716437595445194
0.074,6.634870279729318,38,6.6921308710233065,6.716437595445194
0.076,6.606472969544592,39,6.675926388075382,6.716437595445194
0.078,6.719653495619738,40,6.659721905127458,6.716437595445194
0.08,6.564205930834222,41,6.768984919774352,7.0807275839234265
0.082,6.828562729114076,42,6.858054252388373,7.0807275839234265
0.084,7.105324855937389,43,6.9471235850023945,7.0807275839234265
0.086,7.1533578448139705,44,7.036192917616416,7.0807275839234265
0.088,7.283336553235427,45,7.1252622502304375,7.0807275839234265
0.09,7.223687488053138,46,7.2143315828444585,7.0807275839234265
0.092,7.1612021947877365,47,7.30340091545848,7.0807275839234265
0.094,7.326143074611473,48,7.392470248072501,7.0807275839234265
0.096,7.331494902617034,49,7.353424468879182,7.371279302049382
0.098,7.36483431428283,50,7.358525849784954,7.371279302049382
0.1,7.317478803000072,51,7.3636272306907244,7.371279302049382
0.102,7.407536433602499,52,7.368728611596496,7.371279302049382
0.104,7.441187531939436,53,7.373829992502268,7.371279302049382
0.106,7.382016782045627,54,7.378931373408038,7.371279302049382
0.108,7.366956346004165,55,7.38403275431381,7.371279302049382
0.11,7.358729302903391,56,7.389134135219582,7.371279302049382
0.112,7.418442041558127,57,7.394235516125353,7.412090349295553
0.114,7.350792004172476,58,7.399336897031125,7.412090349295553
0.116,7.509417348654663,59,7.404438277936896,7.412090349295553
0.118,7.485160251280487,60,7.409539658842667,7.412090349295553
0.12,7.630225502306207,61,7.414641039748439,7.412090349295553
0.122,7.7485020577292465,62,7.4197424206542095,7.412090349295553
0.124,7.809162812766391,63,7.424843801559981,7.412090349295553
0.126,7.766681417184727,64,7.429945182465753,7.412090349295553
0.128,7.731589836164575,65,7.511831522046742,7.556986979317584
0.13,7.553944806835059,66,7.524733081266983,7.556986979317584
0.132,7.346674915708745,67,7.537634640487223,7.556986979317584
0.134,7.379009851612739,68,7.550536199707464,7.556986979317584
0.136,7.510924639925671,69,7.563437758927704,7.556986979317584
0.138,7.607899732062306,70,7.576339318147944,7.556986979317584
0.14,7.610984870584054,71,7.589240877368185,7.556986979317584
0.142,7.714867181647666,72,7.602142436588426,7.556986979317584
0.144,7.644155278335355,73,7.474494429603511,7.994356113796504
0.146,7.649457031507381,74,7.623026339372937,7.994356113796504
0.148,7.58113071376734,75,7.771558249142363,7.994356113796504
0.15,7.832610487203443,76,7.92009015891179,7.994356113796504
0.152,7.963236839374471,77,8.068622068681217,7.994356113796504
0.154,8.31460426355387,78,8.217153978450643,7.994356113796504
0.156,8.442787275712988,79,8.365685888220069,7.994356113796504
0.158,8.526867020917233,80,8.514217797989495,7.994356113796504
0.16,8.593932233807354,81,8.460836569041415,8.501562596001435
0.162,8.513003674683313,82,8.472472576744279,8.501562596001435
0.164,8.419277040627792,83,8.484108584447142,8.501562596001435
0.166,8.411437507113789,84,8.495744592150004,8.501562596001435
0.168,8.381383008391746,85,8.507380599852866,8.501562596001435
0.17,8.463116710505812,86,8.519016607555729,8.501562596001435
0.172,8.506975001987563,87,8.530652615258592,8.501562596001435
0.174,8.723375590894097,88,8.542288622961454,8.501562596001435
0.176,8.797422752085605,89,8.766036328066935,9.23477952817865
0.178,8.813010728570262,90,8.899962956670283,9.23477952817865
0.18,9.02903508861791,91,9.033889585273629,9.23477952817865
0.182,9.087888556273557,92,9.167816213876977,9.23477952817865
0.184,9.400000181378196,93,9.301742842480325,9.23477952817865
0.186,9.64296159850626,94,9.43566947108367,9.23477952817865
0.188,9.506231342309343,95,9.569596099687018,9.23477952817865
0.19,9.601685977687906,96,9.703522728290366,9.23477952817865
0.192,9.556282928149212,97,9.603631620843183,9.687270965393239
0.194,9.622676731260071,98,9.627528576428913,9.687270965393239
0.196,9.631977340727348,99,9.651425532014644,9.687270965393239
0.198,9.747866532238026,100,9.675322487600374,9.687270965393239
0.2,9.632694501177616,101,9.699219443186104,9.687270965393239
0.202,9.91275817419461,102,9.723116398771833,9.687270965393239
0.204,9.734921327294076,103,9.747013354357563,9.687270965393239
0.206,9.658990188104912,104,9.770910309943293,9.687270965393239
0.208,9.722884732255569,105,9.568013914891717,9.537416109664193
0.21,9.525219730146103,106,9.55927168482671,9.537416109664193
0.212,9.403469150935992,107,9.550529454761703,9.537416109664193
0.214,9.445994852468598,108,9.541787224696696,9.537416109664193
0.216,9.514798118310578,109,9.53304499463169,9.537416109664193
0.218,9.67261155994642,110,9.524302764566682,9.537416109664193
0.22,9.512370587283732,111,9.515560534501676,9.537416109664193
0.222,9.501980145966712,112,9.50681830443667,9.537416109664193
0.224,9.22533469255766,113,9.498076074371664,9.46747826914414
0.226,9.371672070917018,114,9.489333844306657,9.46747826914414
0.228,9.255036957238154,115,9.48059161424165,9.46747826914414
0.23,9.358964530892171,116,9.471849384176643,9.46747826914414
0.232,9.479516413719733,117,9.463107154111636,9.46747826914414
0.234,9.599551611493922,118,9.45436492404663,9.46747826914414
0.236,9.669496134434016,119,9.445622693981623,9.46747826914414
0.238,9.643889397616908,120,9.436880463916616,9.46747826914414
0.24,9.947645731249098,121,9.99442119231661,10.145662741601331
0.242,10.130514600174228,122,10.037633063540817,10.145662741601331
0.244,10.138167097052856,123,10.080844934765022,10.145662741601331
0.246,10.081332098049884,124,10.124056805989229,10.145662741601331
0.248,10.086110513124236,125,10.167268677213436,10.145662741601331
0.25,10.158076183428197,126,10.210480548437642,10.145662741601331
