time,value,index,predicted_value,stepwise_value
0.0,80.0,1,,
0.002,79.13633307373382,2,,
0.004,79.90743460187986,3,,
0.006,80.41482843739551,4,80.44783279526038,80.60427934366851
0.008,80.67028805939826,5,80.60427934366851,80.60427934366851
0.01,80.72772153421177,6,80.76072589207664,80.60427934366851
0.012,80.58845561984042,7,80.91717244048476,81.07361898889289
0.014,80.59450568121629,8,81.07361898889289,81.07361898889289
0.016,81.11614595154042,9,81.23006553730102,81.07361898889289
0.018,80.64634037971433,10,80.53808913206505,80.63335431990245
0.02,80.41685182460421,11,80.63335431990245,80.63335431990245
0.022,80.83687075538913,12,80.72861950773986,80.63335431990245
0.024,80.99291274462175,13,80.94339928285355,80.59739906576159
0.026,80.49837214222542,14,80.59739906576159,80.59739906576159
0.028,80.30091231043784,15,80.25139884866962,80.59739906576159
0.03,80.47332948990736,16,80.4550773646396,80.3568776197937
0.032,80.32037336925805,17,80.3568776197937,80.3568776197937
0.034,80.27693000021554,18,80.25867787494782,80.3568776197937
0.036,80.96712091177577,19,81.03142731235644,81.03630911352435
0.038,81.16492191468583,20,81.03630911352435,81.03630911352435
0.04,80.97688451411157,21,81.04119091469227,81.03630911352435
0.042,80.24106340925674,22,80.36952146180847,79.98580202600881
0.044,80.24271813111262,23,79.98580202600881,79.98580202600881
0.046,79.4736245376574,24,79.60208259020914,79.98580202600881
0.048,79.62155104123946,25,79.77310318135079,79.5778094666339
0.05,79.88091374685622,26,79.57780946663391,79.5778094666339
0.052,79.23096361180569,27,79.38251575191701,79.5778094666339
0.054,79.64954295142496,28,79.18722203720013,78.99192832248325
0.056,79.47825281688837,29,78.99192832248325,78.99192832248325
0.058,78.64314524328248,30,78.79663460776636,78.99192832248325
0.06,79.02181483437579,31,78.84925165790919,78.68692501676435
0.062,78.81868066446022,32,78.68692501676435,78.68692501676435
0.064,78.88936337018472,33,78.52459837561952,78.68692501676435
0.066,78.60969169431024,34,78.61990215385674,78.49423306728325
0.068,78.41613601971704,35,78.49423306728325,78.49423306728325
0.07,78.32901111297963,36,78.36856398070977,78.49423306728325
0.072,78.23169282764465,37,78.20475285858235,78.07485500211392
0.074,78.0823209971151,38,78.07485500211392,78.07485500211392
