prediction_errors,predicted_step_function_time_interval,changepoint_probs,prediction_times,predictions,actual_values,predicted_step_function
2.674320145345092,0.0,5e-11,0.0,82.67432014534509,80.0,82.67432014534509
0.19076211791993103,0.02,0.02040000002971755,0.02,82.67432014534509,82.48355802742516,82.67432014534509
-0.14853381578375036,0.02,0.020575266731665147,0.04,82.67432014534509,82.82285396112884,82.67432014534509
-0.7219054962391738,0.019999999999999997,0.02098706856211497,0.06,82.67432014534509,83.39622564158427,82.67432014534509
-1.9946429512420707,0.020000000000000004,0.021256412968409272,0.08,82.67432014534509,84.66896309658716,82.67432014534509
2.10252714554278,0.020000000000000004,0.021774995497988878,0.1,85.7494982875451,83.64697114200231,87.79961704901179
2.215711527373074,0.01999999999999999,0.022064019510189437,0.12,86.77455766827843,84.55884614090536,87.79961704901179
4.445644219345311,0.020000000000000018,0.022449967062605727,0.14,87.79961704901179,83.35397282966647,87.79961704901179
4.1972542897427445,0.01999999999999999,0.022707042664708566,0.16,88.82467642974513,84.62742214000238,87.79961704901179
5.927553642894253,0.01999999999999999,0.022989694401404012,0.18,89.84973581047846,83.92218216758421,87.79961704901179
-0.09133392666474549,0.020000000000000018,0.023216430812217335,0.2,84.20757829911044,84.29891222577518,84.33137790916263
-0.15061051279411686,0.01999999999999999,0.023455683389182885,0.22,84.26947810413652,84.42008861693064,84.33137790916263
0.1487444436749854,0.01999999999999999,0.023740781703534313,0.24,84.33137790916263,84.18263346548764,84.33137790916263
-0.9501567977299601,0.020000000000000018,0.023990517594510468,0.26,84.39327771418871,85.34343451191867,84.33137790916263
-0.9139607787956976,0.020000000000000018,0.0243060124399465,0.28,84.4551775192148,85.3691382980105,84.33137790916263
2.209916111205132,0.019999999999999962,0.02475562780220705,0.3,85.64198083546215,83.43206472425702,86.2547404433539
3.3121931420445776,0.020000000000000018,0.024973820831069398,0.32,85.94836063940802,82.63616749736345,86.2547404433539
1.6405290195238962,0.020000000000000018,0.025668945395275547,0.34,86.2547404433539,84.61421142383,86.2547404433539
2.57889202148921,0.019999999999999962,0.02603283397755563,0.36,86.56112024729978,83.98222822581057,86.2547404433539
3.1995449154846796,0.020000000000000018,0.026397928772182496,0.38,86.86750005124566,83.66795513576098,86.2547404433539
2.688379991747283,0.020000000000000018,0.023125496517652933,0.4,84.21187786684092,81.52349787509364,84.57544617713195
3.6789731446582863,0.019999999999999962,0.021147213949616973,0.42,84.39366202198643,80.71468887732814,84.57544617713195
4.814924457959776,0.020000000000000018,0.02051184080942332,0.44,84.57544617713194,79.76052171917216,84.57544617713195
3.594152562834438,0.020000000000000018,0.021081385583623297,0.46,84.75723033227746,81.16307776944302,84.57544617713195
4.450326047774439,0.019999999999999962,0.021453639274249106,0.48,84.93901448742297,80.48868843964853,84.57544617713195
-0.7915009475788679,0.020000000000000018,0.021855993266553783,0.5,80.24372594250441,81.03522689008328,79.91947994674935
-1.4529235923806425,0.020000000000000018,0.022208389656959728,0.52,80.08160294462688,81.53452653700752,79.91947994674935
-1.662418155542511,0.020000000000000018,0.022602532755813063,0.54,79.91947994674935,81.58189810229186,79.91947994674935
