method_id,method,dataset,Z0,a,b,delta,rmse,mae,mape,direction_accuracy,n_predictions,runtime_s
bayesian,Bayesian (BOCPD),"Z0=80, a=0.1, b=100, d=0.5  (high Z0, slow rev.)",80,0.1,100,0.5,3.7699370804014274,3.1529593534000924,3.7695725159656033,49.09090909090909,496,6.556055068969727
kalman,Kalman (OU),"Z0=80, a=0.1, b=100, d=0.5  (high Z0, slow rev.)",80,0.1,100,0.5,1.0251503184065875,0.8152804080876377,0.985216174376796,52.121212121212125,496,0.13186883926391602
cpd_mmd,CPD-MMD (OLS),"Z0=80, a=0.1, b=100, d=0.5  (high Z0, slow rev.)",80,0.1,100,0.5,1.495493881601174,1.1312149651894097,1.3749206946232284,52.104208416833664,500,0.1363060474395752
cpd_bayesian_fixed,BOOLES fixed-window,"Z0=80, a=0.1, b=100, d=0.5  (high Z0, slow rev.)",80,0.1,100,0.5,1.5101129149637813,1.142085212012865,1.3871608462287273,51.503006012024045,500,6.6669089794158936
cpd_bayesian_adaptive_std,BOOLES adaptive (rolling_std),"Z0=80, a=0.1, b=100, d=0.5  (high Z0, slow rev.)",80,0.1,100,0.5,1.845006132836149,1.4079492855906812,1.7070121110564151,52.2,501,7.361274003982544
cpd_bayesian_adaptive_ewma,BOOLES adaptive (EWMA),"Z0=80, a=0.1, b=100, d=0.5  (high Z0, slow rev.)",80,0.1,100,0.5,1.7329369928084237,1.333365061392634,1.6198222977779624,55.2,501,6.802593946456909
bayesian,Bayesian (BOCPD),"Z0=80, a=0.8, b=80,  d=0.3  (high Z0, fast rev.)",80,0.8,80,0.3,2.556968623456348,2.2748573326943733,2.8568500033602553,48.68686868686869,496,6.807315111160278
kalman,Kalman (OU),"Z0=80, a=0.8, b=80,  d=0.3  (high Z0, fast rev.)",80,0.8,80,0.3,0.7747708053198942,0.6263795907229811,0.7789271460564635,50.90909090909091,496,0.13300299644470215
cpd_mmd,CPD-MMD (OLS),"Z0=80, a=0.8, b=80,  d=0.3  (high Z0, fast rev.)",80,0.8,80,0.3,1.0268419074887372,0.773245202595695,0.9634021507755007,47.89579158316633,500,0.14223623275756836
cpd_bayesian_fixed,BOOLES fixed-window,"Z0=80, a=0.8, b=80,  d=0.3  (high Z0, fast rev.)",80,0.8,80,0.3,0.9820913709368203,0.7350614730874582,0.9165274780330354,48.69739478957916,500,6.638422966003418
cpd_bayesian_adaptive_std,BOOLES adaptive (rolling_std),"Z0=80, a=0.8, b=80,  d=0.3  (high Z0, fast rev.)",80,0.8,80,0.3,1.165437402210374,0.8832686678776382,1.0979140242734557,52.2,501,6.835960149765015
cpd_bayesian_adaptive_ewma,BOOLES adaptive (EWMA),"Z0=80, a=0.8, b=80,  d=0.3  (high Z0, fast rev.)",80,0.8,80,0.3,1.1579308616190764,0.8869751765152551,1.104396966705238,47.0,501,6.860542058944702
