prediction_errors,predicted_step_function_time_interval,prediction_times,predictions,actual_values,predicted_step_function
1.5867777446090985,0.0,0.0,6.5867777446090985,5.0,6.5867777446090985
0.5158882377528071,0.02,0.02,6.5867777446090985,6.070889506856291,6.5867777446090985
-0.023778527536080674,0.02,0.04,6.5867777446090985,6.610556272145179,6.5867777446090985
-0.6308872018118912,0.019999999999999997,0.06,6.5867777446090985,7.21766494642099,6.5867777446090985
-1.4480002530139346,0.020000000000000004,0.08,6.5867777446090985,8.034777997623033,6.5867777446090985
0.5913053656864999,0.020000000000000004,0.1,8.751677175052325,8.160371809365826,10.194943462014479
0.5902496169840088,0.01999999999999999,0.12,9.473310318533402,8.883060701549393,10.194943462014479
1.2668354332578264,0.020000000000000018,0.14,10.19494346201448,8.928108028756654,10.194943462014479
1.1386794324938982,0.01999999999999999,0.16,10.916576605495555,9.777897173001657,10.194943462014479
1.6692623512396043,0.01999999999999999,0.18,11.638209748976632,9.968947397737027,10.194943462014479
0.25077777517057775,0.020000000000000018,0.2,10.777864720106814,10.527086944936237,11.837005569838162
0.31157437307527935,0.01999999999999999,0.22,11.307435144972487,10.995860771897208,11.837005569838162
0.5032471138654842,0.01999999999999999,0.24,11.837005569838162,11.333758455972678,11.837005569838162
0.1856864721578848,0.020000000000000018,0.26,12.366575994703837,12.180889522545952,11.837005569838162
0.2865192237791039,0.020000000000000018,0.28,12.896146419569511,12.609627195790408,11.837005569838162
0.8231833607523047,0.019999999999999962,0.3,13.105064519997446,12.281881159245142,14.109672371253499
1.2166453339474383,0.020000000000000018,0.32,13.607368445625474,12.390723111678035,14.109672371253499
0.5412210585959478,0.020000000000000018,0.34,14.1096723712535,13.568451312657553,14.109672371253499
0.8869241159503467,0.019999999999999962,0.36,14.611976296881526,13.72505218093118,14.109672371253499
1.1089679454528376,0.020000000000000018,0.38,15.114280222509553,14.005312277056715,14.109672371253499
1.309000498029846,0.020000000000000018,0.4,14.84191213800823,13.532911639978384,15.742553337951062
1.6863282179674641,0.019999999999999962,0.42,15.292232737979646,13.605904520012182,15.742553337951062
2.1282762633371313,0.020000000000000018,0.44,15.742553337951062,13.61427707461393,15.742553337951062
1.6014160778343083,0.020000000000000018,0.46,16.192873937922478,14.59145786008817,15.742553337951062
1.9422703886894581,0.019999999999999962,0.48,16.643194537893894,14.700924149204436,15.742553337951062
-0.321977755358267,0.020000000000000018,0.5,15.005568556337817,15.327546311696084,15.669884228043433
-0.5977064335605355,0.020000000000000018,0.52,15.337726392190625,15.93543282575116,15.669884228043433
-0.6749489157824264,0.020000000000000018,0.54,15.669884228043433,16.34483314382586,15.669884228043433
-1.1962659484139735,0.020000000000000018,0.56,16.00204206389624,17.198308012310214,15.669884228043433
-0.7138304484138303,0.019999999999999907,0.58,16.33419989974905,17.04803034816288,15.669884228043433
0.0794718724705632,0.020000000000000018,0.6,17.781983106197035,17.702511233726472,18.72275175809557
-0.598626673122638,0.020000000000000018,0.62,18.2523674321463,18.85099410526894,18.72275175809557
-0.15586975456657726,0.020000000000000018,0.64,18.722751758095566,18.878621512662143,18.72275175809557
-0.20159843303997604,0.020000000000000018,0.66,19.193136084044834,19.39473451708481,18.72275175809557
-0.1727485166118221,0.020000000000000018,0.68,19.6635204099941,19.83626892660592,18.72275175809557
0.8491225141351464,0.019999999999999907,0.7,20.42089797311426,19.571775458979115,21.427868838352385
1.5366735992074823,0.020000000000000018,0.72,20.924383405733323,19.38770980652584,21.427868838352385
2.2767270151763555,0.020000000000000018,0.74,21.427868838352385,19.15114182317603,21.427868838352385
2.8041805483686453,0.020000000000000018,0.76,21.931354270971447,19.1271737226028,21.427868838352385
2.570382162682197,0.020000000000000018,0.78,22.43483970359051,19.86445754090831,21.427868838352385
0.37686679168414017,0.020000000000000018,0.8,19.51790009441898,19.14103330273484,19.58286571040605
-1.145392997301542,0.019999999999999907,0.82,19.550382902412515,20.695775899714057,19.58286571040605
-2.750681517960466,0.020000000000000018,0.84,19.58286571040605,22.333547228366516,19.58286571040605
-3.088283706919494,0.020000000000000018,0.86,19.615348518399585,22.70363222531908,19.58286571040605
-3.8856013362348953,0.020000000000000018,0.88,19.64783132639312,23.533432662628016,19.58286571040605
1.6341185115094774,0.020000000000000018,0.9,24.919280777369924,23.285162265860446,27.0778117864482
2.975771937256905,0.020000000000000018,0.92,25.998546281909064,23.02277434465216,27.0778117864482
3.0257524551118458,0.019999999999999907,0.94,27.077811786448198,24.052059331336352,27.0778117864482
3.9885088920801444,0.020000000000000018,0.96,28.157077290987335,24.16856839890719,27.0778117864482
4.791703827115548,0.020000000000000018,0.98,29.236342795526475,24.444638968410928,27.0778117864482
0.5799945953357692,0.020000000000000018,1.0,24.834064899640268,24.2540703043045,25.527014391511475
0.32458249699629604,0.020000000000000018,1.02,25.18053964557587,24.855957148579574,25.527014391511475
0.39756573139423423,0.020000000000000018,1.04,25.52701439151147,25.129448660117237,25.527014391511475
1.0116687230529529,0.020000000000000018,1.06,25.873489137447073,24.86182041439412,25.527014391511475
1.3675720615039708,0.020000000000000018,1.08,26.219963883382672,24.8523918218787,25.527014391511475
0.26911569799621304,0.020000000000000018,1.1,25.15148956014376,24.882373862147546,25.391990820336353
-0.03512248177314348,0.020000000000000018,1.12,25.271740190240056,25.3068626720132,25.391990820336353
0.4064460210782279,0.019999999999999796,1.14,25.391990820336353,24.985544799258125,25.391990820336353
