strategy_id,strategy,alarm_threshold,dataset,Z0,rmse,mae,direction_accuracy,avg_changepoint_prob,runtime_s
fixed_ws10,Fixed ws=10,0.012,"Z0=80, mu=100",80,4.1328710488360265,3.1906909086437034,54.50901803607214,0.024101477430725327,7.169631004333496
adaptive_std,Adaptive (rolling_std),0.012,"Z0=80, mu=100",80,4.277329598229093,3.3438265602977535,51.0,0.024101477430725327,6.631612062454224
adaptive_ewma,Adaptive (EWMA),0.012,"Z0=80, mu=100",80,4.199297267936121,3.2795303277554617,52.2,0.024101477430725327,7.625657081604004
fixed_ws5,Fixed ws=5,0.013,"Z0=80, mu=100",80,3.1708080811665496,2.3965047405497053,50.1002004008016,0.024101477430725327,6.7952539920806885
fixed_ws10,Fixed ws=10,0.013,"Z0=80, mu=100",80,4.1328710488360265,3.1906909086437034,54.50901803607214,0.024101477430725327,6.595131158828735
adaptive_std,Adaptive (rolling_std),0.013,"Z0=80, mu=100",80,4.164022132277019,3.292589807653254,51.2,0.024101477430725327,6.622282028198242
adaptive_ewma,Adaptive (EWMA),0.013,"Z0=80, mu=100",80,4.296959536635579,3.3938895127642525,53.0,0.024101477430725327,6.933377027511597
fixed_ws5,Fixed ws=5,0.014,"Z0=80, mu=100",80,3.1708080811665496,2.3965047405497053,50.1002004008016,0.024101477430725327,6.780885934829712
fixed_ws10,Fixed ws=10,0.014,"Z0=80, mu=100",80,4.1328710488360265,3.1906909086437034,54.50901803607214,0.024101477430725327,6.493664026260376
adaptive_std,Adaptive (rolling_std),0.014,"Z0=80, mu=100",80,4.690398299141567,3.7415630492513476,49.4,0.024101477430725327,6.582772970199585
adaptive_ewma,Adaptive (EWMA),0.014,"Z0=80, mu=100",80,4.8054976431694545,3.7954292992819783,51.0,0.024101477430725327,6.647519826889038
fixed_ws5,Fixed ws=5,0.015,"Z0=80, mu=100",80,3.1708080811665496,2.3965047405497053,50.1002004008016,0.024101477430725327,6.7261481285095215
fixed_ws10,Fixed ws=10,0.015,"Z0=80, mu=100",80,4.1328710488360265,3.1906909086437034,54.50901803607214,0.024101477430725327,6.551209926605225
adaptive_std,Adaptive (rolling_std),0.015,"Z0=80, mu=100",80,4.856032416165904,3.872387657199375,49.6,0.024101477430725327,6.621776103973389
adaptive_ewma,Adaptive (EWMA),0.015,"Z0=80, mu=100",80,4.659085309663469,3.6550063097074545,51.6,0.024101477430725327,6.627395153045654
